ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779178546,claude-haiku-4-5-20251001,3,50244,50244,0,0,115,0.063383,1779177600,,heuristic_resume,4,req_011CbBbV8yVYEXfn6pteowyr
1779178549,,5,1085,1085,0,50244,210,0.007436,,,,11,req_011CbBbVMz5PC9VCiiLJfoJX
1779178555,,6,7583,7583,0,51329,222,0.015728,,,,18,req_011CbBbViufmBknjeCPUujhb
1779178559,,6,5946,5946,0,58912,224,0.01445,,,,25,req_011CbBbW7avkQxHGj7BrZi82
1779178569,,6,1961,1961,0,64858,116,0.009523,,,,28,req_011CbBbWr72xQfLBdtB1Vu7j
1779178573,,5,873,873,0,66819,94,0.008248,,,,30,req_011CbBbX9nuVNPSkeWSzsTtD
1779178576,,5,1711,1711,0,67692,34,0.009083,,,,32,req_011CbBbXNHVSmXDzWYhPUyes
1779178584,,5,1399,1399,0,69403,121,0.009299,,,ctx_warn,35,req_011CbBbXvsZJ9VMUYspGwYLU
1779178588,,4,339,339,0,70802,119,0.008103,,,,38,req_011CbBbYB1rYAqhaMUu1mmHh
1779178592,,4,162,162,0,71141,111,0.007876,,,,40,req_011CbBbYYhq9ckAuULuWCc3k
1779178608,,4,647,647,0,71303,1417,0.015028,,,,42,req_011CbBbYmfCMrLkckRtg3Fph
