ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779171898,,0,0,0,0,0,0,0,1779170400,,clear,3,
1779171920,claude-opus-4-7,6,24164,0,24164,17766,932,0.273853,,,heuristic_resume,13,req_011CbBT3YXRnE9bGA7Ke7Ssi
1779172091,,1,3771,0,3771,41930,2201,0.113705,,,,19,req_011CbBTEerzFxWxXRFz8ao2o
1779172177,,0,0,0,0,0,0,0,,limit_hit_unknown{4:10pm@Asia/Seoul},,21,
1779174665,,6,4289,0,4289,45701,2317,0.123696,1779174000,,,30,req_011CbBWWr1W6Ho3mepFxPvbV
1779174668,,1,3026,0,3026,49990,95,0.057635,,,,34,req_011CbBWZDnjvGRDJrogwH6Y2
1779174735,,1,993,0,993,53016,4925,0.159568,,,,39,req_011CbBWZT9QioWrkyGk9gFvt
1779174951,,1,5134,0,5134,54009,158,0.0823,,,,45,req_011CbBWePbV4dezLoZHZKY62
1779174954,,6,60331,0,60331,0,47,0.604515,,,cost_warn|heuristic_resume,47,req_011CbBWvJxsnZ8Tn9vDrmJXw
1779175496,claude-sonnet-4-6,1,37074,0,37074,12725,522,0.234095,,,heuristic_resume,67,req_011CbBXbmMiDkk4FxHXgmEKn
1779175510,,1,1347,0,1347,49799,758,0.034395,,,,73,req_011CbBXcafZ3Hu4XayyvSg1g
1779175572,,1,2652,0,2652,51146,3881,0.089474,,,,85,req_011CbBXdWR6TLWhRXQNcRTR4
1779175577,,1,4739,0,4739,53798,245,0.048251,,,,91,req_011CbBXi3u3JkJmqcTLnYLUo
1779175583,,1,1436,0,1436,58537,312,0.03086,,,,102,req_011CbBXiSfWKLoWmir22fyqH
1779175589,,1,1564,0,1564,59973,301,0.031894,,,,108,req_011CbBXiumRYfu37KDGLeSDp
1779175636,,1,1069,0,1069,61537,3366,0.075368,,,,131,req_011CbBXjL6to3CKa8cAHyUTj
1779175640,,1,5049,0,5049,61537,193,0.051653,,,,140,req_011CbBXnmvk9SN64WGBiNAj3
1779175644,,1,271,0,271,66586,101,0.02312,,,,142,req_011CbBXo5VBFzXk4HCozsLz6
1779175648,,1,299,0,299,66857,158,0.024224,,,,144,req_011CbBXoMZKKkcnSMqRH1BPj
1779175651,,1,236,0,236,67156,133,0.023561,,,,147,req_011CbBXofCDXPvTVGfTzZrgW
1779175658,,1,302,0,302,67392,369,0.027568,,,,152,req_011CbBXotmHcLXHRkEGEMLZa
1779175663,,1,526,0,526,67694,317,0.028222,,,,159,req_011CbBXpQe8xHouYSZQA7h2W
1779175666,,1,948,0,948,68220,118,0.027927,,,,166,req_011CbBXpozpfU4Ds11D8rZdL
1779175673,,1,324,0,324,69168,409,0.028832,,,,171,req_011CbBXq4QkChb5YySjz1B2F
1779175680,,1,562,0,562,69492,429,0.030658,,,,176,req_011CbBXqWpV9LzipE1HEMvKA
1779175690,,1,590,0,590,70054,455,0.031384,,,,185,req_011CbBXr1a7iUAqqhfX9kHN1
1779175696,,1,1206,0,1206,70054,511,0.03592,,,,190,req_011CbBXrkMbogyrhGreHJWSV
1779175701,,1,672,0,672,71260,392,0.031293,,,,199,req_011CbBXsB3ALT4Lq8TBcmqDs
1779175707,,1,658,0,658,71932,361,0.030946,,,,206,req_011CbBXsawLvvuzxamzwg13h
1779175710,,1,518,0,518,72590,192,0.027768,,,,209,req_011CbBXt2wXWjh4fgMRurnJF
1779175714,,1,774,0,774,72590,203,0.029469,,,,215,req_011CbBXtGPekMaX5THWDUPzd
1779175721,,1,274,0,274,73364,420,0.029956,,,,218,req_011CbBXtYfwSQ3C4aPZYHoPr
