ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779245994,,0,0,0,0,0,0,0,1779242400,,clear,3,
1779246035,claude-sonnet-4-6,3,17402,0,17402,12725,252,0.112019,1779246000,,heuristic_resume,13,req_011CbD5FAQgnzsutDVkbwTHT
1779246054,,1,1749,0,1749,30127,484,0.026795,,,,17,req_011CbD5GM3fyr75hte9F3F8S
1779246112,,1,1884,0,1884,31876,3806,0.07796,,,,23,req_011CbD5Hfw1ZgDg3916Abdu6
1779246122,,1,3953,0,3953,33760,447,0.040554,,,,27,req_011CbD5MzL9k3DL79JkhQXG3
1779246135,,1,1099,0,1099,37713,1284,0.037171,,,,30,req_011CbD5NfxdWU647h1g86xBV
1779246147,,1,1364,0,1364,38812,202,0.022861,,,,34,req_011CbD5Q1pWJiYJJL1iDHJ2H
1779254087,,3,40968,0,40968,0,4380,0.311517,1779253200,,heuristic_resume,47,req_011CbDFPoGcPcm3t3BDJMZgD
1779254092,,1,4462,0,4462,40968,141,0.04118,,,,53,req_011CbDFVrcSkLmsvo7RB61KE
1779254100,,1,496,0,496,45430,445,0.023283,,,,55,req_011CbDFWHVuXDnWigJLdjWNK
1779254107,,1,525,0,525,45926,107,0.018536,,,,57,req_011CbDFWg4ij9M6E7j6anz4C
1779270537,claude-opus-4-7,6,62840,0,62840,0,2083,0.680505,1779267600,,cost_warn|heuristic_resume,66,req_011CbDcMb62PyZNs7WEpB4cH
1779270645,,1,5670,0,5670,62840,296,0.095525,,,,74,req_011CbDcXqAduP6syZSXEKC9R
1779270648,,1,895,0,895,68510,141,0.046735,,,,77,req_011CbDcYKBcNDxgqf9SUQxYJ
1779270652,,1,417,0,417,69405,144,0.042478,,,,79,req_011CbDcYZP8wRHjheYQhP9TW
1779270656,,1,792,0,792,69822,144,0.046436,,,,81,req_011CbDcYp2TPViL11Wz21QZ4
1779270660,,1,788,0,788,70614,259,0.049667,,,,84,req_011CbDcZ5eYqkrJHta9i9bop
1779270683,,1,591,0,591,71402,1370,0.075866,,,,88,req_011CbDcZRVetAhCwmBwkGRM9
1779270760,,1,1790,0,1790,71993,3236,0.134802,,,,95,req_011CbDccjt2a1ypDhrFCXTNK
1779270763,,1,3300,0,3300,73783,98,0.072347,,,,97,req_011CbDcgnPhWFreVedrvjEJv
1779270768,,6,78211,0,78211,0,47,0.783315,,,cost_warn|heuristic_resume,99,req_011CbDch1Rmzsb4tv576N3UB
1779270806,claude-sonnet-4-6,1,50373,0,50373,13091,711,0.316833,,,heuristic_resume,111,req_011CbDcjR4sy6yyZdinhX8ss
1779270811,,1,888,0,888,63464,278,0.02854,,,,116,req_011CbDckBYKG5XVEBd1nwkgf
1779270815,,1,337,0,337,64352,213,0.024526,,,,120,req_011CbDckWfG4mhKnU2QsoFcr
1779270819,,1,275,0,275,64689,293,0.025455,,,,127,req_011CbDckoVY827bEeCEu5q8x
1779270826,,1,355,0,355,64964,219,0.024907,,,,129,req_011CbDcm9U5PEJcvc1FkV9S3
1779270830,,1,281,0,281,65319,150,0.023535,,,,132,req_011CbDcmeCTzSue2uEAe6Xds
1779270835,,1,407,0,407,65600,294,0.026535,,,,135,req_011CbDcmw9wWdBaN1DTeJVs3
1779270838,,1,454,0,454,66007,147,0.024734,,,,144,req_011CbDcnHZ2Xvn2w2B2vYkFo
1779270844,,1,648,0,648,66461,322,0.028659,,,,146,req_011CbDcnYwV41G82qKKTtQNK
1779270850,,1,383,0,383,67109,366,0.027924,,,,148,req_011CbDco1EXsQFdktBVZivjd
1779270855,,1,427,0,427,67492,138,0.024883,,,,151,req_011CbDcoXuFeweU6mVP5c6xn
1779270859,,1,1257,0,1257,67919,261,0.031836,,,,153,req_011CbDcoq1u7mDYJphtEByky
1779270870,,1,322,0,322,69176,888,0.036008,,,,156,req_011CbDcp7gzvZVSKmoxnMwGW
1779270874,,1,949,0,949,69498,154,0.028856,,,,164,req_011CbDcptFeLDFxQa8WGrxT4
1779270877,,1,762,0,762,70447,249,0.029444,,,,167,req_011CbDcqAr3ERK9fKJiCqYvm
1779270882,,1,311,0,311,71209,129,0.025167,,,,169,req_011CbDcqRuQWeATxr3vQdzbj
1779270936,,1,490,0,490,71520,307,0.029004,,,,174,req_011CbDcu22KkD92zaJsBEo6J
1779270947,,1,1106,0,1106,72010,555,0.036567,,,,183,req_011CbDcuk4R145aR3oghzzxf
