ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778991518,,0,0,0,0,0,0,0,1778990400,,clear,3,
1778991524,claude-sonnet-4-6,3,18643,0,18643,12725,265,0.11966,,,heuristic_resume,14,req_011Cb7VnkAadFaV9cCigr6EF
1778991526,,1,2386,0,2386,31368,140,0.025829,,,,21,req_011Cb7Vo4jHpg1XKTeT3JAiP
1778991529,,1,3640,0,3640,33754,81,0.033184,,,,23,req_011Cb7VoEbNAoTSFuPfzjUNW
1778991533,,1,4716,0,4716,37394,239,0.043102,,,,31,req_011Cb7VoR4ABuHG7nT89JCSW
1778991537,,1,406,0,406,42110,253,0.018867,,,,35,req_011Cb7Vojs1HyVNqxBw9mGh9
1778991540,,1,1950,0,1950,42516,272,0.028538,,,,41,req_011Cb7Vp1x8qbWHFpQgjmpZk
1778991550,,1,4007,0,4007,44466,575,0.04601,,,,46,req_011Cb7VpH2zRH3WhpMsHSFGg
1778991572,,1,2354,0,2354,48473,1591,0.052534,,,,50,req_011Cb7VpyRcAm7Lj9e4N3a3J
1778991574,,1,1794,0,1794,50827,77,0.02717,,,,52,req_011Cb7Vrb9TqSr8n4kKPbs23
1778991579,,1,947,0,947,52621,426,0.027861,,,,59,req_011Cb7VrjWFmT2S1x9GG11bx
1778993966,,1,504,0,504,53568,240,0.022697,,,,61,req_011Cb7Ytp41KBQXvpjmJ8rqr
1778993981,,1,318,0,318,54072,770,0.029683,,,,65,req_011Cb7Yub1iQzocGWMqoehjG
1778994094,,1,931,0,931,54390,472,0.028986,1778994000,,,70,req_011Cb7Z48m9hL15WK81jo2Ex
1778994116,,1,534,0,534,55321,400,0.025803,,,,72,req_011Cb7Z5oeWPsSikhZ9ABHvH
1778994123,,1,462,0,462,55855,244,0.023192,,,,74,req_011Cb7Z6RGddCRbMTxiSphzQ
1778994142,,1,306,0,306,56317,99,0.020219,,,,77,req_011Cb7Z7tyniUy41EWGwKVY1
1778994162,,1,1731,0,1731,56623,2150,0.059626,,,,83,req_011Cb7Z84vpeUjfxFeFQELzH
1778994172,,1,2213,0,2213,58354,295,0.035212,,,,87,req_011Cb7Z9w66ECH7fLwvjWUnJ
1778994190,,1,356,0,356,60567,1533,0.043304,,,,90,req_011Cb7ZARzQMwMjBxkVMSDRm
1778994193,,1,1693,0,1693,60923,147,0.030643,,,,97,req_011Cb7ZBbtjmT4iYWr6qeVA1
1778994199,,1,1287,0,1287,62616,244,0.03017,,,,101,req_011Cb7ZC23oL7R8tx3A7ujc9
1778994206,,1,3592,0,3592,63903,129,0.042661,,,,108,req_011Cb7ZCRk5Bbs2bWX2MWkCA
1778994220,,1,516,0,516,67495,112,0.025028,,,,111,req_011Cb7ZDVt9RXcMChvyaK3ha
1778994226,,1,252,0,252,68011,307,0.026523,,,,113,req_011Cb7ZDti5q9KGzVAWZqFRR
1778994228,,1,468,0,468,68263,90,0.02464,,,,116,req_011Cb7ZEDqmaysUS5vqPaUvk
1778994230,,1,105,0,105,68731,125,0.023127,,,,119,req_011Cb7ZEPYvNgM1zAaqpuZ4B
1778994232,,1,226,0,226,68836,102,0.02354,,,,121,req_011Cb7ZEZyUtD34qAfguwet9
1778994239,,1,221,0,221,69062,407,0.028153,,,,123,req_011Cb7ZEiYvGAhVMWvQMiA8y
1778994275,,1,425,0,425,69283,674,0.033448,,,,125,req_011Cb7ZH8km6tXsSVwiHyYei
1778994293,,3,745,0,745,69708,159,0.027776,,,,135,req_011Cb7ZJzQXVmTSNWNjAxrdr
1778994299,,1,501,0,501,70453,391,0.03001,,,,137,req_011Cb7ZKGFGWno2Wk9CkUocV
1778994302,,1,462,0,462,70954,99,0.025546,,,,139,req_011Cb7ZKhmviDWoeBXhsraxE
1778994307,,1,143,0,143,71416,35,0.022811,,,,141,req_011Cb7ZL5SfKskAXPHgY8Yiy
1778994317,,3,156,0,156,71559,170,0.024963,,,,149,req_011Cb7ZLjHzMoGHiwywzdaxG
1778994327,,1,1746,0,1746,71715,768,0.043514,,,,155,req_011Cb7ZLyVWYicKGM4qyYpEn
1778994371,,3,4917,0,4917,73461,578,0.060219,,,,164,req_011Cb7ZQHxMNkAWfbKK1Fv5M
1778994376,,1,9394,0,9394,78378,206,0.08297,,,,171,req_011Cb7ZQw4Gpi3EgY1Vyqa2E
