ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779179436,claude-opus-4-7,6,12418,12418,0,0,217,0.083068,1779177600,,heuristic_resume,6,req_011CbBccWTNxg3tJSwweBmzA
1779179443,,1,6669,6669,0,12418,406,0.058045,,,,9,req_011CbBccwxo5kiWd1imCBU6B
1779179449,,1,3234,3234,0,19087,240,0.035761,,,,13,req_011CbBcdUNPynNubNcWsKtaw
1779179455,,1,7818,7818,0,22321,259,0.066503,,,,19,req_011CbBcdvxo7SRsCtL4QhHXo
1779179462,,1,10016,10016,0,30139,177,0.0821,,,heuristic_resume,23,req_011CbBceNhMorNyAvYeR4y1N
1779179471,,1,7692,7692,0,40155,263,0.074733,,,,29,req_011CbBcesmLXkikUybf1ccn3
1779179478,,1,10490,10490,0,47847,257,0.095916,,,heuristic_resume,35,req_011CbBcfX4g3ZMoxamco5Phy
1779179484,,1,8131,8131,0,58337,181,0.084517,,,,39,req_011CbBcfxk1SZkAQtkVp5hqb
1779179490,,1,7330,7330,0,66468,268,0.085752,,,,44,req_011CbBcgTzuE7YQJNHiGVe5z
1779179495,,1797,5573,5573,0,73798,39,0.08169,,,,51,req_011CbBcguHg1Nv5vKUky3UgX
1779179503,,1,13311,13311,0,79371,224,0.128484,,,heuristic_resume,56,req_011CbBchMP4roo5CEBdCVt2q
1779179573,,1,1725,1725,0,92682,5121,0.185152,,,,58,req_011CbBchtDxaTG47ZxTFKmHd
