ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779179445,claude-opus-4-7,6,4138,4138,0,8231,336,0.038408,1779177600,,,6,req_011CbBcd7ig33hdAjEav9qkK
1779179475,,1,4337,4337,0,12369,296,0.040696,,,,12,req_011CbBcfKKyjjuRwUDA9wte3
1779179487,,1,16764,16764,0,16706,41,0.114158,,,heuristic_resume,19,req_011CbBcgDcDX4Uxyz6QpmbAZ
1779179493,,1,18509,18509,0,33470,1,0.132446,,,heuristic_resume,26,req_011CbBcgfafpr9tG43uCFH5i
1779179501,,1,10584,10584,0,51979,177,0.09657,,,heuristic_resume,30,req_011CbBchAHpKDQdTNebrqcVN
1779179507,,1,8430,8430,0,62563,268,0.090674,,,,35,req_011CbBchjtQJN3UzP7TTBZD1
1779179517,,3740,5472,5472,0,70993,52,0.089697,,,,44,req_011CbBci9E6ohkUUkkeWJsNR
1779179532,,1,5744,5744,0,76465,755,0.093013,,,,50,req_011CbBcj7F523Kx267dhdhNK
1779179551,,1,3164,3164,0,82209,708,0.078585,,,,58,req_011CbBckh1rAGRAf8bfrUuih
1779179579,,1,3095,3095,0,85373,532,0.075335,,,,65,req_011CbBcnutosJyX5B5kBzwBB
1779179631,,1,2202,2202,0,88468,3190,0.137752,,,,67,req_011CbBcoV5bAvQXuNqHwiU9c
