ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779150746,,0,0,0,0,0,0,0,1779148800,,clear,3,
1779150797,claude-sonnet-4-6,3,13457,0,13457,12878,181,0.087329,,,heuristic_resume,12,req_011CbAzD1jto5wRcgLLgUQbR
1779150814,,1,3863,0,3863,26335,390,0.036932,,,,23,req_011CbAzE74ev5MJTmBiT2tXq
1779150836,,1,2497,0,2497,30198,745,0.035219,,,,36,req_011CbAzFab9MzWVUDB8d1NC9
1779150847,,1,1647,0,1647,32695,512,0.027374,,,,44,req_011CbAzGeRrV9KKLnNRcsD8g
1779150851,,1,729,0,729,34342,143,0.016825,,,,48,req_011CbAzHXLysZ9wxXRmAfy77
1779150865,,306,2338,0,2338,35071,606,0.034557,,,,57,req_011CbAzHomxNt6YRhATBBJiC
1779150873,,1,1631,0,1631,37409,192,0.023892,,,,62,req_011CbAzJrSDreK6iyGrGo86C
1779150889,,1,361,0,361,39040,655,0.023706,,,,68,req_011CbAzKRGvD58X24YyYur1Y
1779150893,,1,860,0,860,39401,170,0.019533,,,,71,req_011CbAzLbLvZrtu5cYG3yrib
1779150924,,1,1035,0,1035,40261,1312,0.037971,,,,77,req_011CbAzLz88mqso8A92TfCsx
1779150935,,1,1406,0,1406,41296,191,0.023693,,,,83,req_011CbAzPKbTxZuezS8VSKuFu
1779150942,,1,798,0,798,42702,325,0.022477,,,,88,req_011CbAzPxL533dd4KQFfqD9b
1779150970,,1,1727,0,1727,43500,996,0.038355,,,,93,req_011CbAzQV9DwQoKKzXvFjUiC
1779151004,,1,5514,0,5514,45227,1365,0.06713,,,,99,req_011CbAzSYREAZ2RMadLXchTt
1779151024,,1,1475,0,1475,50741,956,0.038415,,,,103,req_011CbAzV4z4DEyDQe21F4u15
1779151029,,1,1180,0,1180,52216,100,0.024248,,,,105,req_011CbAzWdVC3m4UX5THNH7MF
1779151040,,1,132,0,132,53396,89,0.018149,,,,107,req_011CbAzXEjjpzVssqaxUBGUq
1779151075,,1,152,0,152,53528,258,0.020843,,,,110,req_011CbAzZYmknqzPqRst1JNns
1779151109,,1,412,0,412,53680,651,0.028344,,,,114,req_011CbAzbK734MfALB5iHacuU
1779151113,,1,710,0,710,54092,86,0.021781,,,,118,req_011CbAzcpQS3QjUWSdBtjNFW
1779151119,,1,102,0,102,54802,122,0.018886,,,,120,req_011CbAzd5EQmcXgnHbNH5FDB
1779151122,,1,170,0,170,54904,97,0.018949,,,,122,req_011CbAzdXqZAZhugwUmRTRej
1779151125,,1,115,0,115,55074,91,0.01858,,,,124,req_011CbAzdj7DjBnq5mKAfcfGe
1779151157,,1,136,0,136,55189,211,0.020541,,,,126,req_011CbAzfrW2Cwv9vfY17oTf1
1779151212,,1,283,0,283,55325,223,0.021644,,,,129,req_011CbAzjvHM2P8sRQCNRQvcJ
1779151228,,1,266,0,266,55608,169,0.020816,,,,131,req_011CbAzkbQK9dK55Z8uKgPz1
1779151243,,1,306,0,306,55874,164,0.021061,,,,134,req_011CbAzmjJMY8Pw4gjUBB7h8
1779151257,,1,205,0,205,56180,169,0.020622,,,,136,req_011CbAznpTC1VTQe63yMZBFY
1779151268,,1,216,0,216,56385,180,0.020915,,,,138,req_011CbAzozGKWDYoAK1Bj3iAy
1779151279,,1,222,0,222,56601,83,0.01956,,,,140,req_011CbAzpqp6mYEx6okXKZq2S
1779151297,,1,97,0,97,56823,377,0.023287,,,,142,req_011CbAzqhoRkazb9Lo1KYrH5
1779151426,,3,44569,0,44569,12878,113,0.272981,,,heuristic_resume,155,req_011CbB11n5ReN5MPCAioNadT
1779151439,,1,3245,0,3245,57447,475,0.043832,,,,157,req_011CbB12AHetHwTAaudShHpo
1779151517,,3,584,0,584,60692,502,0.029251,,,,166,req_011CbB17pMGQdo5RATychskU
