ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779154873,claude-haiku-4-5-20251001,3,2746,2746,0,47663,112,0.008762,1779152400,,,4,req_011CbB5Q4nqquwMBH3R95h34
1779154893,,5,1125,1125,0,50409,92,0.006912,,,,7,req_011CbB5QpfJyqZqRSJBvQdvg
1779154902,,7,1272,1272,0,50409,1,0.006643,,,,10,req_011CbB5SCYE6tQvbaGwNZivZ
1779154910,,6,336,336,0,51681,1,0.005599,,,,19,req_011CbB5SXU1n9so93m7ERKhq
1779154915,,7,4835,4835,0,52017,1,0.011257,,,,24,req_011CbB5T7SRFcnk6xBW6juXK
1779154928,,7,6500,6500,0,56852,1,0.013822,,,,29,req_011CbB5TV3vuQq32diZ8hKje
1779154949,,7,1595,1595,0,63352,3,0.008351,,,,34,req_011CbB5VZvRyWoGr5VbYBFKm
1779154954,,7,4925,4925,0,64947,93,0.013123,,,,37,req_011CbB5VzZFy8Yg5NjfR4PN4
1779154959,,5,2936,2936,0,69872,103,0.011177,,,ctx_warn,40,req_011CbB5WPMxsTa2kMuDY1ceM
1779154976,,5,1387,1387,0,72808,202,0.01003,,,,45,req_011CbB5WnHrJzf9ihoCMeCuq
1779154981,,6,2226,2226,0,74195,125,0.010833,,,,48,req_011CbB5XwzHhaKU2dhU3Ps89
1779155010,,5,575,575,0,76421,114,0.008936,,,,51,req_011CbB5a6P7eg3TLKcsavSDv
1779155019,,4,161,161,0,76996,94,0.008375,,,,53,req_011CbB5amXKxiXDgd8BVPsSb
1779155057,,3,1696,1696,0,77157,3215,0.025914,,,,55,req_011CbB5bgw2fZpvRbpW7i5eu
