ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779154872,claude-haiku-4-5-20251001,3,50478,50478,0,0,127,0.063736,1779152400,,heuristic_resume,4,req_011CbB5PvVmTTQcjyBtZtDB7
1779154884,,5,1440,1440,0,50478,212,0.007913,,,,11,req_011CbB5QrRj45WAZPzarQW6X
1779154901,,6,7831,7831,0,51918,1,0.014992,,,,16,req_011CbB5S2B8wnuPZeEkeWjYs
1779154913,,6,3305,3305,0,59749,1,0.010117,,,,21,req_011CbB5Sd4cAmb7GDq7ZbZ6y
1779154919,,6,623,623,0,63054,221,0.008195,,,,28,req_011CbB5TQ3oZ3JXWSkVMdDif
1779154928,,6,2644,2644,0,63677,91,0.010134,,,,31,req_011CbB5Tj6XpViEq4kqpWjbB
1779154935,,5,2110,2110,0,66321,151,0.01003,,,,34,req_011CbB5UX5Voa266xiDwb5Dj
1779154941,,4,684,684,0,68431,107,0.008237,,,,37,req_011CbB5V3jERMW86pHYVQAiD
1779154946,,3,243,243,0,69115,78,0.007608,,,,39,req_011CbB5VSuFg4q6FkQszCQbL
1779154951,,3,2684,2684,0,69358,109,0.010839,,,ctx_warn,42,req_011CbB5Vmh76bN5ETN8bLAoE
1779154958,,2,1228,1228,0,72042,234,0.009911,,,,47,req_011CbB5WD1chrE1HfubVZBok
1779154966,,3,3433,3433,0,73270,129,0.012266,,,,50,req_011CbB5Wt76Nbm7JT6vv7UkD
1779154972,,2,546,546,0,76703,169,0.0092,,,,53,req_011CbB5XGu41kEWXcgB4UL8u
1779154982,,1,380,380,0,77249,1,0.008206,,,,58,req_011CbB5Y4j6GiUp7iHmbaCgm
1779154999,,2,318,318,0,77629,124,0.008782,,,,61,req_011CbB5ZLB42fpgrWRkbd5D8
1779155017,,1,229,229,0,77947,142,0.008792,,,,64,req_011CbB5ac739M2ddDh2xS7jV
1779155024,,1,282,282,0,78176,118,0.008761,,,,67,req_011CbB5bB5vAsEBMGsokAeM5
1779155054,,0,274,274,0,78458,1927,0.017823,,,,69,req_011CbB5cLUFRE1xXd1YFVoYz
