ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779155456,claude-haiku-4-5-20251001,3,50460,50460,0,0,129,0.063723,1779152400,,heuristic_resume,4,req_011CbB68uGo3y3vUkS7YALZv
1779155460,,5,1465,1465,0,50460,171,0.007737,,,,8,req_011CbB69Fag4yXoComneeBn6
1779155463,,318,247,247,0,51925,249,0.007064,,,,15,req_011CbB69YkYhUSEuWGjQSgsx
1779155469,,627,9351,9351,0,52172,134,0.018203,,,,19,req_011CbB69mKM19gSmdNTjh9ih
1779155472,,4,8337,8337,0,61523,127,0.017213,,,,22,req_011CbB6AAjFkoGpaK2Aezb1x
1779155476,,4,9943,9943,0,69860,209,0.020464,,,ctx_warn,27,req_011CbB6ATaGmCBFV2qsuYsM4
1779155481,,5,2078,2078,0,79803,128,0.011223,,,,30,req_011CbB6AkbTaRHUcq2zcSMTs
1779155485,,4,703,703,0,81881,197,0.010056,,,,35,req_011CbB6B6JscVAvvtwpr1Gth
1779155488,,5,1301,1301,0,82584,205,0.010915,,,,40,req_011CbB6BMPUvnhroCuQsiaRs
1779155492,,5,1548,1548,0,83885,112,0.010889,,,,43,req_011CbB6BdW6n5o9gr4PY594Q
1779155497,,4,134,134,0,85433,5,0.00874,,,,46,req_011CbB6BxFDuPXdDsvgNVFS4
1779155502,,4,710,710,0,85567,135,0.010123,,,,49,req_011CbB6CHkjFEQ4zCPfraftm
1779155510,,4,1477,1477,0,86277,1,0.010483,,,,52,req_011CbB6CkLdtt1eR5p8PGysh
1779155536,,3,863,863,0,87754,2868,0.024197,,,,54,req_011CbB6DGLS8aabrfc28duKq
