ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779154828,,0,0,0,0,0,0,0,1779152400,,clear,3,
1779154865,claude-sonnet-4-6,3,18001,0,18001,12878,742,0.123008,,,heuristic_resume,15,req_011CbB5NSzmSAWoaVgUck59s
1779155071,,1,5938,0,5938,30879,393,0.05079,,,,25,req_011CbB5eE5LR7DuDbQoaPL7j
1779155092,,1,4834,0,4834,36817,119,0.041837,,,,31,req_011CbB5fH9QYkiC3CCGZeuP2
1779155148,,1,2493,0,2493,41651,2142,0.059586,,,,36,req_011CbB5h3J2CKg9zuYdvBVRJ
1779155155,,1,2196,0,2196,44144,78,0.027592,,,,38,req_011CbB5kimf99BV2g8xRzMo4
1779155160,,3,835,0,835,46340,91,0.020286,,,,44,req_011CbB5m6tBTq4ZRabAZL97B
1779155235,,1,1584,0,1584,47175,392,0.02954,,,,51,req_011CbB5rUUbQDiMdm86Fhpcc
1779155257,,1,470,0,470,48759,2045,0.048126,,,,54,req_011CbB5ryZa8UE6S9X8EGx2q
1779155272,,1,2123,0,2123,49229,751,0.038775,,,,62,req_011CbB5tbHg81LrgygvQyMC1
1779155277,,1,829,0,829,51352,115,0.022108,,,,64,req_011CbB5ugBPFWWUA42F2AMKM
1779155282,,1,663,0,663,52181,92,0.021015,,,,66,req_011CbB5vD7jZ2dCG6PGrEnQE
1779155290,,1,107,0,107,52844,248,0.020218,,,,68,req_011CbB5vTPUJ5c7tTwwkYJGk
1779155363,,3,289,0,289,52951,390,0.023478,,,,74,req_011CbB61fbaTirkttABVeiuY
1779155451,,3,534,0,534,53240,380,0.024885,,,,86,req_011CbB685iKcL7mRjrSSPPHo
1779155562,,1,3259,0,3259,53774,1158,0.053059,,,,92,req_011CbB6F7Yu6nRXxBXPm4Mox
1779155565,,1,1856,0,1856,57033,111,0.029914,,,,98,req_011CbB6H5ALWtG4B9jNmAe79
1779155570,,1,419,0,419,58889,173,0.022779,,,,100,req_011CbB6HNUtHNaMWzbspthXm
1779155575,,1,200,0,200,59308,118,0.020765,,,,102,req_011CbB6HhxA8ebHsFzFvVenk
1779155581,,1,265,0,265,59508,115,0.02117,,,,104,req_011CbB6J62hcZmdjSamp8E4C
1779155593,,1,497,0,497,59773,603,0.029962,,,,110,req_011CbB6JTghFVFqX7z7wYRJU
1779155598,,1,2287,0,2287,60270,210,0.034956,,,,115,req_011CbB6KJ71RxjyQ1aTezVBp
1779155608,,1,1827,0,1827,62557,453,0.036527,,,,124,req_011CbB6KeqC8zxxa6ghkZoVN
1779155611,,1,988,0,988,64384,111,0.026911,,,,126,req_011CbB6LRvLL5cGp3vgkkZZf
1779155627,,1,245,0,245,65372,693,0.03148,,,,131,req_011CbB6Lw9k2ZLTFFPg7c9V2
1779155632,,1,1264,0,1264,65617,211,0.030437,,,,135,req_011CbB6MuKPT4Y65BXkyPwxa
1779155673,,1,1809,0,1809,66881,2667,0.070926,,,,144,req_011CbB6NF7m7E99Eso6bhWaX
1779155679,,1,2848,0,2848,68690,188,0.040518,,,,148,req_011CbB6RF57T6nskBfz6Puxr
1779155687,,1,383,0,383,71538,347,0.028967,,,,152,req_011CbB6RkjpBWiCNohsTPhAr
1779155692,,1,406,0,406,71921,205,0.02709,,,,160,req_011CbB6SJgS7f6hVz3tWZN3M
1779155700,,1,264,0,264,72327,571,0.03185,,,,164,req_011CbB6SieLEY4futuLGJsex
1779155705,,1,633,0,633,72591,189,0.028413,,,,167,req_011CbB6TJDBRUbyN1yHv1rij
1779155712,,1,350,0,350,73224,260,0.02797,,,,172,req_011CbB6TfpwhY3NymUVJ5hKv
1779155730,,1,321,0,321,73574,1274,0.043111,,,,179,req_011CbB6U4gNKmZxcvAfeNwap
1779155740,,1,1335,0,1335,73895,576,0.038822,,,,182,req_011CbB6VV4rEcLTQtP9TmxSA
1779155752,,1,637,0,637,75230,727,0.037299,,,,185,req_011CbB6WDdSTfkFav78aREEV
1779155771,,1,788,0,788,75867,1339,0.047576,,,,188,req_011CbB6X5ESeY4LFZWcenv3K
1779155778,,1,1499,0,1499,76655,232,0.035474,,,,196,req_011CbB6YUwjevG2eqRWCnJfy
1779155782,,1,293,0,293,78154,131,0.027172,,,,199,req_011CbB6YzK5KT3FmCQ8DpSNd
1779155811,,1,595,0,595,78447,120,0.028907,,,,201,req_011CbB6bARbdR1jpfkPodudk
1779155827,,1,135,0,135,79042,311,0.029191,,,,203,req_011CbB6bRtmd2zRy31xxN3jP
