ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779000928,,0,0,0,0,0,0,0,1778997600,,clear,3,
1779000956,claude-opus-4-7,6,40097,0,40097,0,1512,0.4388,,,heuristic_resume,15,req_011Cb7hkXa93XL78A78b4R15
1779001067,,1,6309,0,6309,40097,2535,0.146519,,,,22,req_011Cb7hsJdTkVH3wL7hXwfG2
1779001272,,1,4340,0,4340,46406,7326,0.249758,1779001200,,,27,req_011Cb7i3D2Q7QifyYc6jDCb9
1779001276,,1,7391,0,7391,50746,124,0.102388,,,,32,req_011Cb7iBfXKSJXvD7RC3dFK5
1779001279,,6,41432,0,41432,17859,47,0.424455,,,heuristic_resume,34,req_011Cb7iBukab4LBYoExpdKkS
1779001336,claude-sonnet-4-6,1,35856,0,35856,12725,162,0.221387,,,heuristic_resume,45,req_011Cb7iGADM1EdCkvsWeVs5W
1779001346,,3,897,0,897,48581,898,0.033435,,,,60,req_011Cb7iGQsQ4ke5xMvyCZLmy
1779001351,,1,1210,0,1210,49478,386,0.027896,,,,70,req_011Cb7iH7uDcmN45Ha2MhXku
1779001358,,1,8319,0,8319,50688,222,0.068453,,,,81,req_011Cb7iHT2uNYFUJ1t9btbfo
1779001361,,1,4181,0,4181,59007,158,0.045161,,,,89,req_011Cb7iJ29iM28ZFKR3pk6TW
1779001364,,1,1304,0,1304,63188,193,0.029678,,,,94,req_011Cb7iJDvPtDX4P6pc6x4kZ
1779001368,,1,2134,0,2134,64492,198,0.035125,,,,100,req_011Cb7iJSxTvpuYcMBYYWF67
1779001371,,1,1713,0,1713,66626,182,0.032999,,,,108,req_011Cb7iJhZ49k8yYn93nZJzD
1779001374,,1,1267,0,1267,68339,156,0.030447,,,,112,req_011Cb7iJwcPpp7ZHo6dpAaqS
1779001379,,1,1557,0,1557,69606,297,0.034682,,,,115,req_011Cb7iK8xmTjYPvtZPi9op4
1779001382,,1,1636,0,1636,71163,109,0.032803,,,,121,req_011Cb7iKXpwV4tQSdVXKuprj
1779001385,,1,3349,0,3349,72799,109,0.043572,,,,124,req_011Cb7iKmUEATJ1PHkoCn7Fg
1779001388,,1,2090,0,2090,76148,109,0.037022,,,,130,req_011Cb7iKzmBYviz3fyfQetNL
1779001432,,1,1379,0,1379,78238,3388,0.082568,,,,133,req_011Cb7iLCPRNd2vtXtA8Q9Xf
1779001437,,1,4486,0,4486,79617,190,0.053654,,,,141,req_011Cb7iPUFVUzHRHb8ebxBza
1779001439,,3,1260,0,1260,84103,107,0.034405,,,,144,req_011Cb7iPodZarpSpUoWZr5yM
1779001443,,1,127,0,127,85363,224,0.029734,,,,148,req_011Cb7iPyYcg8tM6JWixqSot
1779001449,,1,304,0,304,85490,506,0.035064,,,,152,req_011Cb7iQGqvmY9Fq62UjnuRP
1779001452,,1,584,0,584,85794,204,0.032305,,,,158,req_011Cb7iQh2iSJgFE6uK1o2ny
1779001460,,1,263,0,263,86378,857,0.040349,,,,162,req_011Cb7iQv2onUtXTDdfpxxLc
1779001465,,1,920,0,920,86641,449,0.03825,,,,166,req_011Cb7iRZVKE6CmV1YyMHfNq
1779001469,,1,508,0,508,87561,303,0.033864,,,,168,req_011Cb7iRtzq66373Q1ya7eN9
1779001474,,1,599,0,599,88069,415,0.036243,,,,175,req_011Cb7iSCXXK2ppUHyCgRgri
1779001480,,1,474,0,474,88668,721,0.040262,,,,178,req_011Cb7iSWHcejXxEBqyWMPVo
1779001483,,1,780,0,780,89142,125,0.033301,,,,181,req_011Cb7iT2EgGzxKxSSEDxeHy
1779001506,,37,162,0,162,89922,1138,0.04513,,,,186,req_011Cb7iTC7k73KMNWwEdJkKr
1779001514,,1,1235,0,1235,90084,457,0.041293,,,,194,req_011Cb7iUy6DfiXyDVC1X2XYk
1779001518,,1,516,0,516,91319,286,0.034785,,,,196,req_011Cb7iVWS8VHJVuz5mxqTAq
1779001521,,1,345,0,345,91835,235,0.033149,,,,198,req_011Cb7iVnFdaMuYiCNHwx7Fe
1779001523,,1,294,0,294,92180,125,0.031296,,,,202,req_011Cb7iW2a6efbMqKvxJJgf5
1779001529,,1,198,0,198,92474,375,0.034558,,,,206,req_011Cb7iWBfnpPHtdzzgqbdLZ
1779001537,,1,436,0,436,92672,644,0.040081,,,,212,req_011Cb7iWaUjaDwQsCAfZjZCr
1779001545,,1,705,0,705,93108,596,0.041105,,,,215,req_011Cb7iXAwujdHVRvT8vFsFL
1779001557,,1,657,0,657,93813,1113,0.048784,,,,223,req_011Cb7iXkLME1J7Cg2u9Fcdn
1779001562,,1,1172,0,1172,94470,347,0.040581,,,,227,req_011Cb7iYdqD3G5fbT2Qxq8io
1779001565,,1,404,0,404,95642,125,0.032995,,,,230,req_011Cb7iZ2zjf8oZwPU3VXuui
1779001569,,1,198,0,198,96046,108,0.031625,,,,234,req_011Cb7iZDHrg1SkMoShrwX5N
1779001586,,1,2264,0,2264,96244,1753,0.068755,,,,242,req_011Cb7iZZyZNFKk9ZmBPwqd9
1779001588,,1,1813,0,1813,98508,1,0.040448,,,,244,req_011Cb7iap3vX7EPWCLkEJXNm
1779006037,,3,87624,0,87624,12725,230,0.533021,1779004800,,cost_warn|heuristic_resume,254,req_011Cb7pEh5s3hHhCm1MjppDP
1779006041,,1,310,0,310,100349,188,0.034788,,,,256,req_011Cb7pF3qXvEWGCHcDTdJ3E
1779006045,,1,247,0,247,100659,151,0.033948,,,,263,req_011Cb7pFNArGEZmRvLFa6MZv
1779006047,,1,194,0,194,100906,96,0.032879,,,,265,req_011Cb7pFbJP9JxcWpjorDiL4
1779006049,,1,1912,0,1912,101100,113,0.0435,,,,268,req_011Cb7pFnJus9VwEuvb9m5Uu
1779006052,,1,1355,0,1355,103012,113,0.040732,,,,270,req_011Cb7pFwyqBeBTSeHjxURBi
1779006054,,1,1786,0,1786,104367,113,0.043724,,,,276,req_011Cb7pG79jnrh8UsY6p77n4
1779006056,,1,1480,0,1480,106153,113,0.042424,,,,278,req_011Cb7pGGrPj7YKngBFjBYqQ
1779006058,,1,2068,0,2068,107633,113,0.046396,,,,280,req_011Cb7pGSSMibyoaGTFuLANx
1779006065,,1,1270,0,1270,109701,489,0.047868,,,,285,req_011Cb7pGcrRRUtqif9KPKNrZ
1779006077,,1,550,0,550,110971,1168,0.054114,,,,292,req_011Cb7pH7CVhzEEaZoQqiLos
1779006086,,1,1229,0,1229,111521,168,0.043353,,,,295,req_011Cb7pHzSELqTZaLYH8XLGR
1779006088,,1,449,0,449,112750,114,0.038232,,,,298,req_011Cb7pJg2yMyA3iyZb9P2sC
1779006103,,1,272,0,272,113199,1683,0.06084,,,,300,req_011Cb7pJqCNuUUHVUVAhuVZq
1779006107,,1,1744,0,1744,113471,172,0.047088,,,,307,req_011Cb7pKwH2mvhJ5VV9wkQgr
1779006112,,1,500,0,500,115215,124,0.039428,,,,309,req_011Cb7pLHedKqpyWAofM8yFK
1779006116,,1,557,0,557,115715,198,0.04103,,,,313,req_011Cb7pLZb5fWp2PY3TDWUgf
1779006128,,37,235,0,235,116272,1002,0.051433,,,,317,req_011Cb7pLrUaeQKd3khVW5aYv
1779006134,,1,1095,0,1095,116507,384,0.047285,,,,320,req_011Cb7pMmUyJMwTvqE4a2s8a
1779006142,,1,441,0,441,117602,890,0.05128,,,,327,req_011Cb7pNAgEuNNTJ6PNuDp9a
1779006145,,1,947,0,947,118043,125,0.042973,,,,330,req_011Cb7pNoR66KJf4vXmd9MVD
1779006148,,1,198,0,198,118990,128,0.038808,,,,334,req_011Cb7pNyZXYHXU2LyJG2jxZ
1779006150,,1,616,0,616,119188,96,0.040895,,,,336,req_011Cb7pPD8Ma7wZmcUvVHk13
1779006153,,1,791,0,791,119804,113,0.042385,,,,338,req_011Cb7pPPLXChopFRPo1Tv6e
1779006166,,1,658,0,658,120595,1414,0.06134,,,,346,req_011Cb7pPbj9qvhwH1eMw7bej
1779006173,,1,1473,0,1473,121253,500,0.052717,,,,350,req_011Cb7pQaWFz822sextgpZXa
1779006182,,1,561,0,561,122726,703,0.050732,,,,352,req_011Cb7pR5xJzCewUeiGisHBL
1779006199,,1,764,0,764,123287,1752,0.067853,,,,360,req_011Cb7pRjHP1NFt59A3Hsr94
1779006209,,1,2048,0,2048,124051,1070,0.065556,,,,365,req_011Cb7pSyF3dbARhuiACYztH
1779006212,,1,1129,0,1129,126099,171,0.047172,,,,368,req_011Cb7pTjBEQYoV16BZrx1J8
1779006217,,1,1447,0,1447,127228,190,0.049703,,,,375,req_011Cb7pU4iiyqwGDQRmPfsiZ
1779006230,,1,634,0,634,128675,219,0.045695,,,,379,req_011Cb7pUvZsK8v4t4MqDvcaG
1779006234,,1,1155,0,1155,129309,407,0.051831,,,,382,req_011Cb7pVERABeRC7L62gC7b2
1779006237,,1,468,0,468,130464,113,0.043645,,,,384,req_011Cb7pVXhUbVySpwomxDFS9
1779006241,,1,380,0,380,130932,157,0.043918,,,,388,req_011Cb7pVojPJvBgKPaKmGjL8
1779006251,,1,215,0,215,131312,134,0.042697,,,,397,req_011Cb7pWddSjWh93H9JGgd9W
1779006258,,1,207,0,207,131527,404,0.046763,,,,400,req_011Cb7pWrNQyvicnkadNUrQY
1779006261,,1,450,0,450,131734,91,0.043588,,,,402,req_011Cb7pXMFUejZEjvtTtxJML
1779006263,,1,517,0,517,132184,108,0.04438,,,,404,req_011Cb7pXXfnx1AeyRtb8MaJH
1779006269,,1,385,0,385,132701,455,0.048948,,,,407,req_011Cb7pXiEnrFaBgVj53bQUZ
1779006271,,1,511,0,511,133086,101,0.04451,,,,414,req_011Cb7pY7T3Xbi8nGXjQpYvc
1779006274,,1,147,0,147,133597,82,0.042194,,,,416,req_011Cb7pYKLurKFK33ZPLX2Ff
1779006280,,1,834,0,834,133744,675,0.055255,,,,419,req_011Cb7pYWMwULvfcMdudmyTD
1779006283,,1,739,0,739,134578,70,0.04586,,,,421,req_011Cb7pYyYpTwmv6pNPHQdwV
1779006286,,1,88,0,88,135317,127,0.043031,,,,424,req_011Cb7pZAEkfCMhQwjyuE7Z6
1779006292,,1,1497,0,1497,135405,403,0.055652,,,,432,req_011Cb7pZRRJwb9bXXi1TUFs9
1779006297,,1,610,0,610,136902,166,0.047224,,,,434,req_011Cb7pZsRjwm9uEJv9WxDT9
1779006300,,1,223,0,223,137512,210,0.045745,,,,436,req_011Cb7paBm4FMeafCvHJDt9f
1779006303,,1,267,0,267,137735,235,0.046451,,,,438,req_011Cb7paSP8YjZtw7r2xUiZB
1779006309,,1,292,0,292,138002,332,0.048136,,,,441,req_011Cb7pagSyQMvVnPoZNYZbL
1779006312,,1,393,0,393,138294,226,0.047239,,,,444,req_011Cb7pb522gxYGNdpPu6XvQ
1779006317,,1,384,0,384,138687,197,0.046868,,,,448,req_011Cb7pbLnKFKpF3oTSiexq7
1779006325,,1,258,0,258,139071,479,0.050457,,,,454,req_011Cb7pbesF88GXm5Vhj2Kzv
1779006328,,1,540,0,540,139329,171,0.047607,,,,456,req_011Cb7pcGjWLVXiU6TCJRYvk
1779006335,,1,232,0,232,139869,703,0.053901,,,,459,req_011Cb7pcUfMbTU1EHPs54hny
1779006338,,1,764,0,764,140101,109,0.048252,,,,461,req_011Cb7pd23FQXVbbwDr6oWuW
1779006341,,1,124,0,124,140865,160,0.045407,,,,464,req_011Cb7pdD4HEcM3RmFcwDNqt
1779006360,,1,218,0,218,140989,605,0.052683,,,,470,req_011Cb7pe8L3n8LPsZAS4b769
1779006738,claude-opus-4-7,6,184574,0,184574,0,1823,1.891345,,,cost_danger|heuristic_resume,482,req_011Cb7q6PP9GrL6BjRbJAHLj
1779007047,,0,0,0,0,0,0,0,,,compact:manual:186905,491,
1779007122,,0,0,0,0,0,0,0,,limit_hit_unknown{7:20pm@Asia/Seoul},,511,
1779015222,claude-sonnet-4-6,3,28454,0,28454,12725,359,0.179936,1779012000,,heuristic_resume,519,req_011Cb81uZ1JcFJvLfYcHaajU
1779015224,,1,525,0,525,41179,74,0.016617,,,,522,req_011Cb81uwxSDsVezLhQbMxEZ
1779015228,,1,303,0,303,41704,329,0.019267,,,,525,req_011Cb81v6Lxw2BJG9Z1tUzGp
1779015234,,1,362,0,362,42007,356,0.020117,,,,527,req_011Cb81vSQxFiv6mww9e3ToL
1779015242,,0,0,0,0,0,0,0,,,model_change,531,
1779015248,,3,42963,0,42963,0,107,0.259392,,,heuristic_resume,542,req_011Cb81wdoqjFkZy1PsCmAWS
1779015250,,1,338,0,338,42963,194,0.01783,,,,545,req_011Cb81wqptvTL3kUKeXMvvi
1779015254,,1,269,0,269,43301,51,0.015372,,,,547,req_011Cb81xBAjT9DP6VLobRAmk
1779015305,,3,33475,0,33475,12725,170,0.207227,,,heuristic_resume,569,req_011Cb821mcVyNjvpDRT4iJum
1779015309,,1,186,0,186,46200,88,0.016299,,,,571,req_011Cb822C4v4p8be2AmZEzMH
1779015313,,1,164,0,164,46386,77,0.016058,,,,573,req_011Cb822RpemfxqCLSiP8c7t
1779015498,,3,2541,0,2541,46550,644,0.03888,,,,589,req_011Cb82Fbiq773BuEyg2jCbG
1779015503,,1,968,0,968,49091,305,0.025113,,,,594,req_011Cb82GHtJQEPPF4adYt1CR
1779015519,,1,431,0,431,50059,1146,0.034797,,,,597,req_011Cb82GhPBF42uLhwA2i5EK
1779015563,,0,0,0,0,0,0,0,,,model_change,604,
1779015581,,3,1376,0,1376,50490,136,0.025452,,,,613,req_011Cb82NDYmoFATFCmwE2ztX
1779015584,,3,1276,0,1276,51866,38,0.023795,,,,615,req_011Cb82NRkVYRHW8sN8cdxpr
1779015612,claude-opus-4-7,1,71266,0,71266,0,1351,0.74644,1779015600,,cost_warn|heuristic_resume,620,req_011Cb82NdTTFUv276RNSBqVv
1779015737,,1,2990,0,2990,71266,1046,0.091688,,,,628,req_011Cb82YnQVSagVCpD9n2wU8
1779015743,,1,2890,0,2890,74256,160,0.070033,,,,635,req_011Cb82Zx4hHdUw5b33NVyE7
1779015817,,1,1593,0,1593,77146,4646,0.170658,,,,639,req_011Cb82aLusbmnswy8Di8WpV
1779015820,,1,4698,0,4698,78739,114,0.089205,,,,641,req_011Cb82fqR1fyrsahmW5pM6S
1779015874,,1,217,0,217,83437,4167,0.148069,,,,643,req_011Cb82g55Hka5zn8PxxG1ML
1779015881,,1,4235,0,4235,83654,98,0.086632,,,,649,req_011Cb82k4TwR4ZSzMtJpmhoB
1779015892,,6,1035,0,1035,87889,167,0.0585,,,,651,req_011Cb82m64iJ6LxfWEBeNG11
1779016107,claude-sonnet-4-6,1,59687,0,59687,12725,422,0.368273,,,heuristic_resume,662,req_011Cb832mnKAo8w4qiYiv9J8
1779016109,,1,1581,0,1581,72412,109,0.032848,,,,669,req_011Cb833DjH4oTED71vFzDQD
1779016113,,1,2950,0,2950,73993,109,0.041536,,,,671,req_011Cb833P4bu4QP7e2wSoEma
1779016116,,1,6102,0,6102,76943,109,0.061333,,,,677,req_011Cb833czWZCorbqo3Ja3vP
1779016155,,1,311,0,311,83045,2360,0.062183,,,,681,req_011Cb833qemGA2nwfJEfnEXS
1779016159,,1,2419,0,2419,83356,272,0.043604,,,,686,req_011Cb836kBw1YbCazXeoeBRF
1779016164,,1,350,0,350,85775,254,0.031646,,,,692,req_011Cb8374UGvCoxSTdPyMJin
1779016172,,1,329,0,329,86125,665,0.03779,,,,695,req_011Cb837Pr6fRnRdBQ8mNfL6
1779016189,,1,821,0,821,86454,1260,0.049765,,,,699,req_011Cb837zPyx7wrnSSRHLMRk
1779016192,,1,1317,0,1317,87275,166,0.036578,,,,701,req_011Cb839GSuM3vRqnC42t3J5
1779016198,,1,223,0,223,88592,439,0.034504,,,,708,req_011Cb839Tj4YNbxGZn9YKmy5
1779016202,,1,496,0,496,88815,247,0.033329,,,,711,req_011Cb839u9XJ6b93We8KFf7u
1779016206,,1,304,0,304,89311,203,0.031665,,,,713,req_011Cb83AFJUjXQU1YGWnXRsh
1779016208,,1,260,0,260,89615,211,0.031613,,,,715,req_011Cb83ATQF1WWGZbAHmnwWC
1779016215,,1,268,0,268,89875,330,0.033524,,,,717,req_011Cb83Afr6wCkjMd7hyrGkF
1779016241,,3,334,0,334,90143,282,0.033286,,,,726,req_011Cb83CkiM8H5rR7mUgSJYJ
1779016244,,1,4100,0,4100,90477,137,0.053801,,,,735,req_011Cb83D6AtLbi4smqbpufYz
1779016246,,1,3010,0,3010,94577,77,0.047591,,,,737,req_011Cb83DJEvMWx7wBWqqyN1F
1779016258,,1,4611,0,4611,97587,800,0.068945,,,,745,req_011Cb83DUZmxS7m7RADcUZJN
1779016261,,1,891,0,891,102198,210,0.039158,,,,751,req_011Cb83ELhXtjq6QUJeLZ2zP
1779016265,,1,5325,0,5325,103089,137,0.064935,,,,759,req_011Cb83EYVCQTkTccVwV1JMC
1779016269,,1,2587,0,2587,108414,232,0.051529,,,,766,req_011Cb83ErG2iuFZJyPeVp8Hh
1779016274,,1,3502,0,3502,111001,302,0.058845,,,,775,req_011Cb83F89kibLjQ2wEt5WW8
1779016281,,1,1721,0,1721,114503,334,0.04969,,,,779,req_011Cb83FXt1sEqSf55BJFEMT
1779016286,,1,1565,0,1565,116224,270,0.04831,,,,783,req_011Cb83G2gd6xynmDDs3HGs9
1779016317,,1,2395,0,2395,117789,2367,0.085215,,,,792,req_011Cb83GRcknxzn5x6F3dSMt
1779016329,,1,3959,0,3959,120184,920,0.073612,,,,798,req_011Cb83Je3fzN7fwr5dLrFxT
1779016348,,1,3622,0,3622,124143,1366,0.079468,,,,806,req_011Cb83KYoBqxtQbKLdfKerL
1779016352,,1,1444,0,1444,127765,364,0.052457,,,,808,req_011Cb83LvkaA3TLAdpCHC3y1
1779016361,,1,423,0,423,129209,432,0.047784,,,,814,req_011Cb83MHR2x7TZsg9g5QNcC
1779016365,,1,491,0,491,129632,308,0.046459,,,,817,req_011Cb83MtxhMAegkj1xarfD8
1779016370,,1,367,0,367,130123,404,0.047302,,,,819,req_011Cb83NCinKejzo3cSKuNhW
1779016375,,1,463,0,463,130490,210,0.045078,,,,825,req_011Cb83NeixvgKEan9cgZFHM
1779016379,,1,368,0,368,130953,201,0.044512,,,,829,req_011Cb83NydmBy2LnQRFpwD5w
1779016381,,1,262,0,262,131321,180,0.043671,,,,831,req_011Cb83PDkKigrVor53t8hp3
1779016384,,1,241,0,241,131583,178,0.043594,,,,833,req_011Cb83PQo67m4pRnSnN1izW
1779016392,,1,239,0,239,131824,211,0.044149,,,,837,req_011Cb83PcH9who2Crd9YZEkw
1779016396,,1,270,0,270,132063,192,0.044122,,,,843,req_011Cb83QEiPsvURGC8gKcvQv
1779016400,,1,251,0,251,132333,286,0.045499,,,,845,req_011Cb83QTiEnMnLNBY363KQR
1779016403,,1,345,0,345,132584,192,0.044728,,,,847,req_011Cb83Qnf1sikjeYCbAz7cg
1779016407,,1,251,0,251,132929,216,0.044628,,,,849,req_011Cb83R1hLoSKKznYT2JZb7
1779016412,,1,374,0,374,133180,195,0.045126,,,,858,req_011Cb83RK3NSJrVmCd3yktoE
1779016416,,1,254,0,254,133554,176,0.044233,,,,860,req_011Cb83RijttCkFL2a7pKpC3
1779016419,,1,235,0,235,133808,180,0.044255,,,,862,req_011Cb83RxWNkLkXoXQh2a3p6
1779016422,,1,239,0,239,134043,150,0.0439,,,,866,req_011Cb83SAuG37QFzjKGoSCjJ
1779016426,,1,217,0,217,134282,398,0.04756,,,,880,req_011Cb83SP7UZxTXyZzbu9jfC
1779016430,,1,741,0,741,134499,111,0.046464,,,,887,req_011Cb83Sj42WeQKNaVN6aD2p
1779016432,,1,1148,0,1148,135240,136,0.049503,,,,889,req_011Cb83SydNYEYioAWWSKQnk
1779016436,,1,202,0,202,136388,174,0.044741,,,,893,req_011Cb83TAsYZtkBn9dVKp21w
1779016439,,1,235,0,235,136590,161,0.044805,,,,897,req_011Cb83TUXBuvEo7DanGNN99
