ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779159900,,0,0,0,0,0,0,0,1779159600,,clear,3,
1779159920,claude-sonnet-4-6,3,14093,0,14093,12725,169,0.09092,,,heuristic_resume,12,req_011CbBBoyn5jb7yfaB4j5iCe
1779159926,,1,4091,0,4091,26818,480,0.039794,,,,25,req_011CbBBpLgS3UtVCW6C2pBkf
1779159940,,1,2851,0,2851,30909,407,0.032487,,,,37,req_011CbBBqN44KoBtPDH63C1u9
1779159960,,1,2177,0,2177,33760,594,0.032103,,,,49,req_011CbBBrTFsMqKNETeBLeFPV
1779159968,,71,2844,0,2844,35937,537,0.036113,,,,58,req_011CbBBsGMZnJc642KuBu6FU
1779159972,,1,4460,0,4460,35937,142,0.039674,,,,63,req_011CbBBsrNCy9iJDSUcs6T47
1779159981,,1,4506,0,4506,40397,464,0.046118,,,,70,req_011CbBBt8x6i313by2eEnTsd
1779159996,,1,2845,0,2845,44903,860,0.043444,,,,79,req_011CbBBtoAW1qXutY1kyQv4Q
1779160002,,1,1050,0,1050,47748,266,0.024617,,,,83,req_011CbBButxnB1e725HxufvZn
1779160009,,1,349,0,349,48798,518,0.024506,,,,86,req_011CbBBvM79KX5KudBNmLmGz
1779160012,,1,582,0,582,49147,82,0.019469,,,,88,req_011CbBBvpTwaFpkYrjmQnUfo
1779160030,,1,1294,0,1294,49729,1255,0.041511,,,,92,req_011CbBBw6zrr7nrEiQ7Mevry
1779160036,,1,1314,0,1314,51023,300,0.027694,,,,99,req_011CbBBxQSsWn9ZrZFrLAYXh
1779160043,,1,4529,0,4529,52337,137,0.044933,,,,104,req_011CbBBxo98BsVAWN7hrnbaX
1779160046,,2197,1204,0,1204,56866,140,0.032975,,,,110,req_011CbBByK2DS8Nn2kLvF4g1k
1779160050,,1,6254,0,6254,58070,174,0.057558,,,,115,req_011CbBByY62iZQT7ea28D4QH
1779160057,,1,1151,0,1151,64324,157,0.028561,,,,120,req_011CbBByrt8LN6GqtoNccHAW
1779160067,,1,1121,0,1121,65475,446,0.033062,,,,123,req_011CbBBzQnGXMNpoACH6vaEq
1779160087,,1,1927,0,1927,66596,1309,0.051179,,,,128,req_011CbBC16qJNC6BHDUrxEXUU
1779160092,,1,5568,0,5568,68523,252,0.057748,,,,135,req_011CbBC2ZWSaxN854XpAt7Zo
1779160106,,1,3487,0,3487,74091,661,0.053067,,,,139,req_011CbBC2yt9NhhqM2krFVbRs
1779160132,,1,1314,0,1314,77578,1848,0.05888,,,,145,req_011CbBC41Yt37J62i8TmcjLL
1779160138,,1,3629,0,3629,78892,111,0.04711,,,,147,req_011CbBC5y2tChjHALRbMp4Ym
1779160150,,1,1185,0,1185,82521,777,0.043524,,,,151,req_011CbBC6L88uzVJDDpQukCcm
1779160157,,1,838,0,838,83706,593,0.039038,,,,156,req_011CbBC7GNwSUpHugTKpkQYz
1779160168,,1,755,0,755,84544,1001,0.044911,,,,161,req_011CbBC7jKw1zavNBUQz1Abq
1779160172,,1,1062,0,1062,85299,176,0.034605,,,,165,req_011CbBC8YCj6CHHxxKnQJiNi
1779160175,,1,236,0,236,86361,152,0.029607,,,,169,req_011CbBC8r5GGtwDXwNyJMFVq
1779160181,,1,215,0,215,86597,466,0.034262,,,,173,req_011CbBC94ojQDH5FUaaGVXFx
1779160190,,1,525,0,525,86812,579,0.037882,,,,177,req_011CbBC9Xkxg86ZY3Kb4Qo9N
1779160194,,1,638,0,638,87337,104,0.031592,,,,181,req_011CbBCACz8gvMHKBrLHyebx
