ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779083345,claude-haiku-4-5-20251001,3,50891,50891,0,0,148,0.064357,1779080400,,heuristic_resume,4,req_011Cb9WVNU1iFk9axaFjvTPw
1779083347,,5,1429,1429,0,50891,91,0.007335,,,,7,req_011Cb9WVb91Ney2q6JDWCKfs
1779083350,,5,225,225,0,52320,79,0.005913,,,,9,req_011Cb9WVmtfXKg7G7WZRKQfh
1779083354,,5,28253,28253,0,52545,127,0.041211,,,ctx_warn|heuristic_resume,12,req_011Cb9WW1cfXcPyjJowWphGw
1779083355,,5,719,719,0,80798,93,0.009449,,,,14,req_011Cb9WWFHh43jkDBHCV3QEG
1779083358,,5,667,667,0,81517,84,0.00941,,,,16,req_011Cb9WWQ7kgWFUoTLTgbyvK
1779083359,,4,145,145,0,82184,99,0.008899,,,,19,req_011Cb9WWXqr1AVTXUJVKkazn
1779083362,,3,2029,2029,0,82329,102,0.011282,,,,22,req_011Cb9WWfSVvVAq5ag75cNDt
1779083364,,3,140,140,0,84358,79,0.009009,,,,24,req_011Cb9WWphMyyWDamVC5pKss
1779083367,,3,1411,1411,0,84498,108,0.010757,,,,27,req_011Cb9WX1BeTNyzE2XYNZhog
1779083372,,3,561,561,0,85909,83,0.00971,,,,29,req_011Cb9WXDBDcRVkBoNvcPvGx
1779083375,,3,1038,1038,0,86470,106,0.010478,,,,32,req_011Cb9WXZZKKWdPiPBYNqw7C
1779083377,,2,513,513,0,87508,107,0.009929,,,,35,req_011Cb9WXoVDKa7PMhu48SYAC
1779083379,,1,243,243,0,88021,111,0.009662,,,,37,req_011Cb9WXxXRznTH8RXMMa2xu
1779083381,,0,786,786,0,88264,111,0.010364,,,,39,req_011Cb9WY6GWiGUjd3dpei3Nh
1779083385,,0,556,556,0,89050,95,0.010075,,,,42,req_011Cb9WYJCcfpkDxsybdvTU3
1779083388,,0,2537,2537,0,89606,126,0.012762,,,,45,req_011Cb9WYZWcYWsrXmEz7nQEZ
1779083390,,0,180,180,0,92143,45,0.009664,,,,47,req_011Cb9WYkE3AZzAH3VbEn1Yz
1779083393,,0,731,731,0,92323,130,0.010796,,,,50,req_011Cb9WYxge3g9TArEjXBEHM
1779083395,,0,873,873,0,93054,1,0.010402,,,,53,req_011Cb9WZ8x2Uu5NmTWBDqdQn
1779083398,,0,913,913,0,93927,137,0.011219,,,,56,req_011Cb9WZLWny7PaeoHbxLA1N
1779083400,,0,485,485,0,94840,94,0.01056,,,,59,req_011Cb9WZW9jRExAbKpmefiSs
1779083402,,0,163,163,0,95325,79,0.010131,,,,61,req_011Cb9WZfJ9frnUy1LhxMZsx
1779083404,,0,419,419,0,95488,106,0.010603,,,,64,req_011Cb9WZqjDG8ZSKMzRiU37w
1779083409,,0,187,187,0,95907,112,0.010384,,,,66,req_011Cb9Wa1mTA1TqLshvzW2pF
1779083438,,0,329,329,0,96094,3580,0.027921,,,,68,req_011Cb9WaMyPG9JEeHPgd26wA
