ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779082084,claude-haiku-4-5-20251001,3,50855,50855,0,0,153,0.064337,1779080400,,heuristic_resume,4,req_011Cb9UtUrtUghToSma7nCEh
1779082087,,5,1970,1970,0,50855,1,0.007558,,,,7,req_011Cb9UtfjVHiaKVyNUPue2C
1779082090,,5,1003,1003,0,52825,124,0.007161,,,,10,req_011Cb9UtuSkFxULRqxGFGexK
1779082092,,4,923,923,0,53828,1,0.006546,,,,13,req_011Cb9Uu4cACdWo7akYSuaDC
1779082094,,3,161,161,0,54751,104,0.006199,,,,16,req_011Cb9UuEzz4nK28NFb4QBHx
1779082096,,2,222,222,0,54912,85,0.006196,,,,19,req_011Cb9UuPqoGJUj6BRv1Jvrv
1779082099,,2,858,858,0,55134,102,0.007098,,,,22,req_011Cb9UuZicf8B2YfnKmNLYs
1779082102,,2,2094,2094,0,55992,107,0.008754,,,,25,req_011Cb9UunuNaFg2ddfHyDeXL
1779082105,,2,1268,1268,0,58086,103,0.007911,,,,28,req_011Cb9Uv29rEBYLM2BUeQgCk
1779082108,,2,1522,1522,0,59354,89,0.008285,,,,31,req_011Cb9UvEVFbk4p7mFmq9bPo
1779082111,,1,2629,2629,0,60876,101,0.00988,,,,34,req_011Cb9UvRK8GgN3HE14icQcb
1779082114,,1,2284,2284,0,63505,1,0.009212,,,,37,req_011Cb9UveriJ1qVNeQVdshDJ
1779082117,,1,2923,2923,0,65789,112,0.010794,,,,40,req_011Cb9UvsDrgzAUtd2cdzuDP
1779082120,,1,1771,1771,0,68712,115,0.009661,,,ctx_warn,43,req_011Cb9Uw5zJhKFHcFFcWWp2k
1779082123,,1,162,162,0,70483,108,0.007792,,,,46,req_011Cb9UwMafjW2XKdocwxdJw
1779082127,,0,628,628,0,70645,90,0.0083,,,,49,req_011Cb9UwegKbpD1tzuxiD8b8
1779082131,,0,28194,28194,0,71273,117,0.042955,,,heuristic_resume,52,req_011Cb9Uwrgdh1Vzk6mncgJ42
1779082134,,0,511,511,0,99467,144,0.011305,,,,55,req_011Cb9Ux7yeNaenHR1f4MwD5
1779082136,,0,766,766,0,99978,119,0.01155,,,,58,req_011Cb9UxMgemczsquHDJk7gn
1779082163,,0,137,137,0,100744,2917,0.024831,,,,60,req_011Cb9UxWftrKMoZzdEG2m5Z
