ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779081280,,0,0,0,0,0,0,0,1779080400,,clear,3,
1779081288,claude-sonnet-4-6,2,17392,0,17392,13091,172,0.110865,,,heuristic_resume,13,req_011Cb9TsgpLGEBKZZN6sRSdE
1779081323,,1,332,0,332,30483,162,0.01357,,,,17,req_011Cb9TvJAQ4iMAu9jd3J4he
1779081350,,1,340,0,340,30815,268,0.015308,,,,20,req_011Cb9TxFgNpMUi2FMa1pntV
1779081356,,1,397,0,397,31155,202,0.014762,,,,22,req_011Cb9TxdoenQpbyAqpwCdC8
1779081415,,1,576,0,576,31552,77,0.01408,,,,24,req_011Cb9U34CheZVbWZVufy36P
1779081421,,1,3829,0,3829,32128,388,0.038435,,,,27,req_011Cb9U3P13p8KYqX8ic4ENc
1779081435,,1,1104,0,1104,35957,639,0.026999,,,,31,req_011Cb9U4A5hCySYM6FFuujy6
1779081444,,1,986,0,986,37061,559,0.025422,,,,33,req_011Cb9U4x4RNoWgHA2u6c2om
1779081454,,1,946,0,946,38047,436,0.023633,,,,37,req_011Cb9U5hY5b2wXexnegsLfK
1779081456,,1,560,0,560,38993,86,0.016351,,,,40,req_011Cb9U6AxqG3DfkvCzSqyHq
1779081462,,1,2155,0,2155,39553,273,0.028894,,,,44,req_011Cb9U6Mgkv4WUphPd7hjq3
1779081467,,1,627,0,627,41708,450,0.023027,,,,48,req_011Cb9U6oG9Bm7S8FWhQh6NM
1779081476,,1,528,0,528,42335,517,0.023627,,,,51,req_011Cb9U7CHz99XTapF8cKmu2
1779081486,,1,719,0,719,42863,128,0.019096,,,,54,req_011Cb9U8MD3JdZ1rDJAsKJAa
1779081514,,1,902,0,902,43582,195,0.021415,,,,59,req_011Cb9UAKb7YYrDuHAQzgZZ7
1779081517,,1,639,0,639,44484,183,0.019927,,,,63,req_011Cb9UAcA1qHhg4Dc6ARdSD
1779081519,,1,261,0,261,45123,91,0.016471,,,,65,req_011Cb9UApBKRLbfTgyAmrTL7
1779081558,,1,998,0,998,45384,523,0.027451,,,,69,req_011Cb9UD7ywYXNn7TPNUf9r7
1779081560,,3,672,0,672,46382,45,0.018631,,,,71,req_011Cb9UDrT5cgM9xEfdrEhfF
1779081571,,1,82,0,82,47054,129,0.016546,,,,74,req_011Cb9UEcpKJyehUSomoLHnW
1779081575,,1,344,0,344,47136,184,0.018968,,,,78,req_011Cb9UEpRKPg8MnNCpHGUbW
1779081577,,1,202,0,202,47480,92,0.016839,,,,80,req_011Cb9UF7J57HtpDSB5u3EtZ
