ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778656352,,0,0,0,0,0,0,0,1778655600,,clear,3,
1778656366,claude-sonnet-4-6,3,27965,0,27965,0,242,0.171429,,,heuristic_resume,14,req_011Caz9poxjTABokDbbgdiGb
1778656372,,1,651,0,651,27965,192,0.015179,,,,18,req_011Caz9qP4oYDuEimR5ZDNdg
1778656384,,1,4001,0,4001,28616,158,0.034964,,,,24,req_011Caz9rCJS7Un2LqwYJvqx2
1778656392,,1,6082,0,6082,32617,267,0.050285,,,,33,req_011Caz9riGV4fixVfovX8u3G
1778656399,,1,6140,0,6140,38699,151,0.050718,,,,40,req_011Caz9sEK1agN4GSDkbT6oT
1778656406,,1,968,0,968,44839,139,0.021348,,,,44,req_011Caz9su4QV3FWx2Vwf6Fhf
1778656422,,1,6788,0,6788,45807,898,0.067943,,,,53,req_011Caz9tBoUcxLiYCuMvFy21
1778656446,,1,3016,0,3016,52595,1447,0.055583,,,,58,req_011Caz9uKb4iMPdt1iJbzhWF
1778656588,,1,1524,0,1524,55611,323,0.030675,,,,62,req_011CazA7CgvBJ9b9yGEgtph3
1778656668,,1,401,0,401,57135,2152,0.05183,,,,65,req_011CazABZVAyJkf39GbHg6Gv
1778656718,,1,2310,0,2310,57536,562,0.039554,,,,70,req_011CazAGUsWFdEBo5MM3r7ND
1778656726,,1,621,0,621,59846,545,0.029858,,,,76,req_011CazAH8B5jyyXjBA1obDPU
1778656736,,1,602,0,602,60467,741,0.03287,,,,79,req_011CazAHh5FLyXgfYjTWB1kp
1778656744,,1,798,0,798,61069,539,0.031197,,,,81,req_011CazAJUD7qAJyMH4yqteDn
1778656753,,1,596,0,596,61867,711,0.032804,,,,87,req_011CazAK1kRvRDEMDo4o1SD2
1778656757,,1,770,0,770,62463,216,0.026602,,,,92,req_011CazAKhaKaZNvwvoj4b8Co
1778656780,,1,372,0,372,63233,1761,0.04762,,,,95,req_011CazAL17GQCk2GBSrvdaP7
1778656791,,1,1818,0,1818,63605,688,0.040313,,,,101,req_011CazAMibeEeGo24TXX6Z3K
1778656794,,1,745,0,745,65423,144,0.02626,,,,104,req_011CazANUtAFh47uU44ut93S
