ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778981472,,0,0,0,0,0,0,0,1778979600,,clear,3,
1778981492,claude-sonnet-4-6,3,16223,0,16223,12725,293,0.10556,,,heuristic_resume,14,req_011Cb7H36DTww7KCw7PbV5mS
1778981500,,1,1947,0,1947,28948,451,0.027134,,,,23,req_011Cb7H3XzkJPy9mfZWxJuMt
1778981510,,1,3310,0,3310,30895,459,0.036017,,,,28,req_011Cb7H4D7UM512Ak5Wo6JiR
1778981518,,1,2648,0,2648,34205,208,0.029273,,,,37,req_011Cb7H5BxYcpyWJUP91v73q
1778981522,,1,3110,0,3110,36853,141,0.031834,,,,44,req_011Cb7H5WNaWppqqZykmXS3u
1778981526,,1,5464,0,5464,39963,142,0.046906,,,,50,req_011Cb7H5oe9SkqrbQawCvMDn
1778981530,,1,1732,0,1732,45427,200,0.027023,,,,55,req_011Cb7H63t9tSGT5gWbkwWPP
1778981533,,1,1629,0,1629,47159,142,0.026055,,,,59,req_011Cb7H6MK9XXZfS1dnjknJY
1778981548,,1,6931,0,6931,48788,805,0.0683,,,,66,req_011Cb7H6a9pJFohWi4uJ66oq
1778981560,,1,2014,0,2014,55719,702,0.039333,,,,72,req_011Cb7H7hTszPD5yVMJBQuiR
1778981602,,1,1898,0,1898,57733,3144,0.075871,,,,76,req_011Cb7H8agcjNsWNbkZbSYLv
1778981606,,1,3221,0,3221,59631,280,0.041418,,,,81,req_011Cb7HBhx1Wm6Y1CJhzsH1h
1778981609,,1,358,0,358,62852,207,0.024112,,,,83,req_011Cb7HBz6cVzxRiWSGbV4qL
1778981613,,1,266,0,266,63210,204,0.023622,,,,87,req_011Cb7HCE3FvRK1WNrC3RBip
1778981619,,1,265,0,265,63476,391,0.026501,,,,89,req_011Cb7HCVXAuQC1VpWSQd5r5
1778981628,,1,452,0,452,63741,765,0.033312,,,,94,req_011Cb7HCwYr838xHEnSpPAnh
1778981635,,1,927,0,927,64193,561,0.033238,,,,100,req_011Cb7HDarRp6FDPQYjuwMq6
1778981639,,1,620,0,620,65120,376,0.028899,,,,102,req_011Cb7HE5WMg6zjTQh65WY8h
1778981646,,1,435,0,435,65740,536,0.030375,,,,104,req_011Cb7HERRRd4EDsfizmJ6Er
1778981657,,1,595,0,595,66175,658,0.033296,,,,108,req_011Cb7HEwwDpiUrsp8KHak24
1778981663,,1,720,0,720,66770,295,0.028779,,,,114,req_011Cb7HFj9Jb4P8ZegWUyKbX
1778981667,,1,357,0,357,67490,303,0.026937,,,,116,req_011Cb7HGBFh37HhizbxoHDJh
1778981678,,1,365,0,365,67847,904,0.036107,,,,118,req_011Cb7HGSLYZc3p4FZ39Hqc2
1778981698,,1,1065,0,1065,68212,1447,0.048562,,,,124,req_011Cb7HHFELJvwsB4ZPFNjjj
1778981722,,1,1504,0,1504,69277,2178,0.06248,,,,128,req_011Cb7HJkGMnRPMbvn6Wuw2b
1778981725,,1,2239,0,2239,70781,160,0.037071,,,,132,req_011Cb7HLXDqy7fXMVbCDsTo7
1778981730,,1,1015,0,1015,73020,155,0.030324,,,,135,req_011Cb7HLpFXcfNfZTUUX7xzB
1778981741,,1,1828,0,1828,74035,433,0.039677,,,,141,req_011Cb7HM8baopvPjeVrjf7Ao
