ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779169273,,0,0,0,0,0,0,0,1779166800,,clear,3,
1779169290,claude-sonnet-4-6,3,13950,0,13950,12725,166,0.090017,,,heuristic_resume,12,req_011CbBPibfZic37dC3R5LQ7D
1779169297,,1,3972,0,3972,26675,410,0.037988,,,,21,req_011CbBPizwHpdLyhxJafK8zu
1779169316,,1,4357,0,4357,30647,328,0.040259,,,,29,req_011CbBPkFUgKQLDYsGncNZCh
1779169321,,1,795,0,795,35004,195,0.018199,,,,34,req_011CbBPkxz23wArnU9Z89zsm
1779169326,,1,2377,0,2377,35799,166,0.027495,,,,41,req_011CbBPmEdMpUf7E6i1uUSKr
1779169331,,1,7005,0,7005,38176,154,0.055796,,,,46,req_011CbBPmcDtM5bTBVLYm6x6t
1779169337,,1,3419,0,3419,45181,213,0.037266,,,,51,req_011CbBPn2vBjnDYftX1fJvaS
1779169344,,1,5624,0,5624,48600,245,0.052002,,,,58,req_011CbBPnUCxiM4K8hRn2KGMP
1779169357,,1,1814,0,1814,54224,230,0.030604,,,,62,req_011CbBPnxCSsEjFVQFwuCjLR
1779169361,,1,549,0,549,56038,182,0.022838,,,,67,req_011CbBPouprB2eNjLGKeMTye
1779169376,,1,2764,0,2764,56587,207,0.036668,,,,71,req_011CbBPpDqKqGDXcK3EfP6d6
1779169381,,1,2193,0,2193,59351,222,0.034296,,,,76,req_011CbBPqJb6ZfHAbAijzKVwU
1779169399,,1,1079,0,1079,61544,897,0.038395,,,,82,req_011CbBPqjaWjnTwgVHS9HdFG
1779169404,,1,2141,0,2141,62623,141,0.033751,,,,87,req_011CbBPs77qPmbgUsDRZYNUu
1779169430,,1,6520,0,6520,64764,1290,0.077902,,,,93,req_011CbBPsNATVzHm3rhE8bV9Y
1779169435,,1,2034,0,2034,71284,215,0.036817,,,,98,req_011CbBPuLb1V9qCcrnDGRr8s
1779169456,,1,530,0,530,73318,1007,0.040283,,,,103,req_011CbBPuhAmKVy1PiS1MNRGq
1779169459,,1,1622,0,1622,73848,111,0.033554,,,,106,req_011CbBPwCKjYSdKCmKh2MxZR
1779169471,,1,1043,0,1043,75470,676,0.039042,,,,110,req_011CbBPwSQKCSipHFycdjdv9
1779169479,,1,761,0,761,76513,482,0.034753,,,,114,req_011CbBPxJgVmdggJPieEXGhq
1779169486,,1,659,0,659,77274,471,0.034204,,,,120,req_011CbBPxtXiJ2na8czXEZovG
1779169492,,1,539,0,539,77933,462,0.033547,,,,122,req_011CbBPyRaG5v56vtWg9DFQc
1779169496,,1,528,0,528,78472,139,0.028798,,,,125,req_011CbBPyrZRkHAqUfNJBKQcv
1779169506,,1,792,0,792,79000,687,0.03876,,,,127,req_011CbBPzBgsEHErKubTE1HKW
1779169521,,1,746,0,746,79792,208,0.031537,,,,131,req_011CbBPztaFb5fuQas7Fsqtx
1779169541,,1,267,0,267,80538,541,0.033881,,,,135,req_011CbBQ23ya9MwTxLdSxJsZX
1779169552,,1,604,0,604,80805,474,0.034979,,,,138,req_011CbBQ3UENCHVBwgcK4j2Qw
1779169556,,1,619,0,619,81409,80,0.02934,,,,141,req_011CbBQ4LM8MES9rJheCjDF5
1779169563,,1,1836,0,1836,82028,434,0.042137,,,,144,req_011CbBQ4aCKXG2SSviEmyjfn
1779169570,,1,496,0,496,83864,291,0.032503,,,,149,req_011CbBQ57YDh6c2aek4ACwBe
1779169579,,1,348,0,348,84360,453,0.034194,,,,152,req_011CbBQ5cU26zxyZ8biYMR87
1779169595,,1,512,0,512,84708,369,0.034022,,,,156,req_011CbBQ6Fg9UAk2Tw8ajtJMy
1779169599,,1,428,0,428,85220,290,0.032487,,,,158,req_011CbBQ7SDgYmJ8QNogcZvHJ
1779169616,,1,349,0,349,85648,1220,0.046091,,,,161,req_011CbBQ7na36NbAJwDAt6HMY
1779169620,,1,1380,0,1380,85997,208,0.037202,,,,167,req_011CbBQ8znXpvh8Dj6vYV48U
1779169627,,1,269,0,269,87377,116,0.02957,,,,170,req_011CbBQ9NYULYWZ53F1Mv9Eh
1779169634,,1,201,0,201,87646,239,0.031088,,,,172,req_011CbBQ9rbgptyZWu81GXNvT
1779169639,,1,300,0,300,87847,137,0.030212,,,,176,req_011CbBQANmPrTCEfiovyvdjH
