ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779033193,claude-opus-4-7,6,4455,4455,0,8748,325,0.040373,1779030000,,,4,req_011Cb8QkX4ez2BdG7QiLZKh6
1779033200,,1,1767,1767,0,13203,393,0.027475,,,,13,req_011Cb8QkrPW8WU27rhaP9iqA
1779033205,,1,12871,12871,0,14970,41,0.088959,,,heuristic_resume,21,req_011Cb8QmJeZWy9Q9ft96q9zG
1779033213,,1,8274,8274,0,27841,508,0.078338,,,,32,req_011Cb8QmhnrF1Y3LbU42VFAX
1779033217,,1,6541,6541,0,36115,269,0.065669,,,,39,req_011Cb8QnGmjBfoXs2sdDbd2J
1779033224,,1,7087,7087,0,42656,421,0.076152,,,,49,req_011Cb8Qnd8LTqrk4RkJR1H2E
1779033228,,1,12001,12001,0,49743,264,0.106483,,,heuristic_resume,56,req_011Cb8Qo5P9jyTUSWAAEWriH
1779033234,,1,7533,7533,0,61744,4,0.078058,,,,63,req_011Cb8QoRiGZKos67evqTmcY
1779033239,,1,3608,3608,0,69277,345,0.065819,,,,71,req_011Cb8QopMJCnTbxSP1Z2FB2
1779033293,,1,6217,6217,0,72885,3598,0.165254,,,,73,req_011Cb8QpCHAd3rbUigGN3d11
