ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779063996,,0,0,0,0,0,0,0,1779062400,,clear,3,
1779064027,claude-sonnet-4-6,3,16861,0,16861,13091,247,0.108807,,,heuristic_resume,13,req_011Cb95w7HGKp3HDpH1Lw2YX
1779064036,,1,323,0,323,29952,128,0.012847,,,,15,req_011Cb95wbLjDm9rZbL5abpSz
1779064039,,1,321,0,321,30275,118,0.012782,,,,17,req_011Cb95xE5phLXKJC42JPRyP
1779064042,,1,136,0,136,30596,113,0.011693,,,,19,req_011Cb95xTdf24FXdx2ryML76
1779064046,,1,187,0,187,30732,111,0.01201,,,,23,req_011Cb95xgcWX6tRHHgnqyD1R
1779064055,,1,664,0,664,30919,215,0.016488,,,,26,req_011Cb95xxWEFHnTQa78gpseU
1779064067,,1,1353,0,1353,31583,296,0.022036,,,,30,req_011Cb95yfFRyK45JcFnahtQz
1779064069,,1,686,0,686,32936,114,0.01571,,,,32,req_011Cb95zYGGXvBbkYXTeGvxy
1779064076,,1,602,0,602,33622,222,0.017032,,,,36,req_011Cb95zjN1gwWgsKMosGUku
1779064079,,1,1148,0,1148,34224,129,0.019093,,,,40,req_011Cb961CbN4mMePdYQLaLKd
1779064086,,1,1284,0,1284,35372,156,0.020659,,,,42,req_011Cb961V63dgE5kNTe7jXFa
1779064088,,1,520,0,520,36656,114,0.01583,,,,44,req_011Cb961vGsT7gRN2obfMn9x
1779064099,,1,1310,0,1310,37176,489,0.026351,,,,48,req_011Cb96286mcsbKBcz5S1LBV
1779064106,,1,1218,0,1218,38486,340,0.023957,,,,52,req_011Cb962wiU3YZnJZP18wurv
1779064109,,1,361,0,361,39704,113,0.015775,,,,56,req_011Cb963UhYD83RuzsnH8nYS
1779064115,,1,338,0,338,40065,296,0.018491,,,,59,req_011Cb963gNkvTRkRZdhze5JJ
1779064135,,1,630,0,630,40403,261,0.019819,,,,63,req_011Cb9648XsL2m6uuieZAL26
1779064139,,1,364,0,364,41033,123,0.016342,,,,65,req_011Cb965dcd3BDif3vkKnvpe
1779064151,,1,265,0,265,41397,77,0.015167,,,,67,req_011Cb965tjTYgUTce7KCi4Mi
1779064169,,1,486,0,486,41662,944,0.029578,,,,71,req_011Cb966ngc1z1JawrALhLin
1779064173,,1,1160,0,1160,42148,124,0.021467,,,,73,req_011Cb9687wm74AMYZeDqhpYF
