ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779167769,,0,0,0,0,0,0,0,1779166800,,clear,3,
1779167794,claude-sonnet-4-6,3,13881,0,13881,12725,153,0.089408,,,heuristic_resume,12,req_011CbBMpSYpW15dgGqZSwSwd
1779167799,,1,3867,0,3867,26606,189,0.034022,,,,19,req_011CbBMpoHk4rSJ9D6deEnNy
1779167826,,1,6846,0,6846,26606,575,0.057686,,,,26,req_011CbBMrW8RdL9XB8q2Mg7uX
1779167829,,1,993,0,993,33452,169,0.018532,,,,30,req_011CbBMs4MAa5kGab9ENHh6b
1779167834,,1,2735,0,2735,34445,77,0.027902,,,,33,req_011CbBMsQpiNVHXieth6pxyy
1779167838,,1,3928,0,3928,37180,145,0.0369,,,,38,req_011CbBMsfMav8WYu8TviGKwu
1779167842,,1,2522,0,2522,41108,143,0.029612,,,,43,req_011CbBMsvJFwUbGE7qv6c4XM
1779167853,,1,2217,0,2217,43630,219,0.029679,,,,49,req_011CbBMtK9w1ccZtqFCjNsTk
1779167857,,1,2296,0,2296,45847,245,0.031208,,,,55,req_011CbBMu4JzSuwq113XqreXr
1779167861,,1,431,0,431,48143,145,0.019207,,,,59,req_011CbBMuRZg6JXekhVaCfpPC
1779167865,,1,1129,0,1129,48574,150,0.023599,,,,63,req_011CbBMuhLT3rWAKNT99cx3H
1779167875,,1,2609,0,2609,49703,622,0.039898,,,,70,req_011CbBMuxoNq3rgz7LDNy4LA
1779167878,,1,1384,0,1384,52312,141,0.026116,,,,74,req_011CbBMviuUwkeDe9d9CVuCi
1779167888,,1,4752,0,4752,53696,580,0.053324,,,,78,req_011CbBMvxJeDXFr4b2fQQRLR
1779167942,,1,2958,0,2958,58448,3510,0.087935,,,,84,req_011CbBMwp3aX6rEQDe8JqXZz
1779167966,,1,9476,0,9476,61406,1687,0.100586,,,,91,req_011CbBN1dCaLqNWEWTysWftp
1779167973,,1,1764,0,1764,70882,469,0.038887,,,,95,req_011CbBN3RbscMxGxf74joFer
1779167980,,1,547,0,547,72646,506,0.032669,,,,97,req_011CbBN3xEcxzDgf7aRgug69
1779167988,,1,565,0,565,73193,204,0.028411,,,,99,req_011CbBN4aiautfAK8Ax1zptg
1779167994,,1,263,0,263,73758,571,0.032273,,,,103,req_011CbBN4zR7L6ZGKz3eqrea8
1779168000,,1,634,0,634,74021,552,0.034293,,,,106,req_011CbBN5SjtcDN5GNfXPRrXc
1779168004,,1,615,0,615,74655,248,0.02981,,,,109,req_011CbBN5tbeZzesGPXiJ2B8y
1779168008,,1,408,0,408,75270,132,0.027012,,,,113,req_011CbBN6ApxT3SxDB2zvsC9G
