ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778933045,,0,0,0,0,0,0,0,1778932800,,clear,3,
1778933052,claude-sonnet-4-6,3,32723,0,32723,0,211,0.199512,,,heuristic_resume,14,req_011Cb6DUSLuRhGVKk7Ymkhus
1778933055,,1,226,0,226,32723,135,0.013201,,,,17,req_011Cb6DUtRoGbZPjE51Q2LTe
1778933160,,1,279,0,279,32949,485,0.018837,,,,22,req_011Cb6DcFW1nshD6c5td7ZRX
1778933172,,1,503,0,503,33228,91,0.014354,,,,24,req_011Cb6DdXDbokWhNG2orDFZ4
1778933176,,1,274,0,274,33731,212,0.014946,,,,26,req_011Cb6DdiorY5BRyr5DjJvrs
1778933355,,1,426,0,426,34005,484,0.020021,,,,29,req_011Cb6Dr3kiWaTfrXKDeYgaq
1778933365,,1,612,0,612,34431,390,0.019854,,,,32,req_011Cb6DsKDg3z7oQAZVMkasV
1778933376,,1,420,0,420,35043,440,0.019636,,,,34,req_011Cb6Dt4e75hSo8DJ6Baa1a
1778933388,,1,470,0,470,35463,455,0.020287,,,,38,req_011Cb6DtpvspV6u4K1YRjaWq
1778933401,,1,485,0,485,35933,546,0.021883,,,,41,req_011Cb6DumJ8PezcoRQYG7eVA
1778933410,,1,576,0,576,36418,413,0.020579,,,,43,req_011Cb6Dvfc6ek15Gn4gdehdn
1778933419,,1,443,0,443,36994,397,0.019714,,,,45,req_011Cb6DwNw2JDDyTtA5LN8qc
1778933427,,1,427,0,427,37437,380,0.019496,,,,47,req_011Cb6Dx2UzN6QUFMTdNpSAU
1778933433,,1,410,0,410,37864,368,0.019342,,,,49,req_011Cb6DxZyZw51AHGCiEN87e
1778933441,,1,398,0,398,38274,389,0.019708,,,,51,req_011Cb6Dy4yq8K455yzcLLqrg
1778933450,,1,517,0,517,38672,389,0.020542,,,,54,req_011Cb6DydQyHyBME9GbcPC4m
1778933461,,1,419,0,419,39189,487,0.021579,,,,57,req_011Cb6DzGYP3iedAVw6GHVNo
1778933471,,1,517,0,517,39608,413,0.021182,,,,61,req_011Cb6E17YfsyJtVkmXzGQ6h
1778933477,,1,443,0,443,40125,399,0.020684,,,,63,req_011Cb6E1pdiLM87r8cxhF37z
1778933485,,1,429,0,429,40568,351,0.020012,,,,65,req_011Cb6E2McnWs7xuYmCytUmx
1778933492,,1,381,0,381,40997,363,0.020033,,,,67,req_011Cb6E2szeTjUbfM2xdxGg7
1778933504,,1,393,0,393,41378,512,0.022454,,,,69,req_011Cb6E3NSRNFp2AJbBemLmN
1778933513,,1,542,0,542,41771,495,0.023211,,,,71,req_011Cb6E4Gy3kZ7rfC6hRYFdh
1778933521,,1,525,0,525,42313,401,0.021862,,,,73,req_011Cb6E4vhBGWSgoSJ5LCMyM
1778933540,,1,529,0,529,42838,689,0.026363,,,,77,req_011Cb6E5Z7ReXRcXfcbno3q8
1778933554,,1,719,0,719,43367,474,0.024437,,,,79,req_011Cb6E6zG3NmnYMmnXEa1pW
1778933564,,1,504,0,504,44086,455,0.023078,,,,81,req_011Cb6E7zceqRKB3rrGmh8ru
1778933584,,1,485,0,485,44590,414,0.0225,,,,85,req_011Cb6E8h9wwv965NsjuSf41
1778933591,,1,444,0,444,45075,394,0.0221,,,,87,req_011Cb6EAAV2rUYHSoTpMWnCi
1778933597,,1,424,0,424,45519,348,0.021423,,,,89,req_011Cb6EAh9m3Har5b3v98zzg
1778933603,,1,378,0,378,45943,366,0.021544,,,,91,req_011Cb6EBAMNikqRFQyB3ozxY
1778933612,,1,396,0,396,46321,384,0.022035,,,,93,req_011Cb6EBc2iL9YjoLwNpuiu5
1778933625,,1,414,0,414,46717,704,0.027062,,,,96,req_011Cb6ECFHoq9H9LwwdZH6G6
1778933634,,1,832,0,832,47131,406,0.025224,,,,99,req_011Cb6EDDVwKestsfXWWRvQY
1778933642,,1,436,0,436,47963,381,0.022723,,,,101,req_011Cb6EDqeZXrWQNxsiRLo1Q
1778933651,,1,411,0,411,48399,468,0.024009,,,,103,req_011Cb6EER3k5YMxh4u1p7sDh
1778933662,,1,498,0,498,48810,415,0.023859,,,,105,req_011Cb6EF69UexvcLdjGBoHsP
1778933671,,1,445,0,445,49308,447,0.02417,,,,109,req_011Cb6EFuoAEV7RUWFTRd4un
1778933684,,1,477,0,477,49753,419,0.024076,,,,111,req_011Cb6EGdfKjGp7opK6PfvPD
1778933697,,1,449,0,449,50230,561,0.026181,,,,114,req_011Cb6EHZHRcsD1t99wQCrUP
1778933707,,1,591,0,591,50679,469,0.025788,,,,116,req_011Cb6EJXNrp4mZYrM7Zpmz5
1778933715,,1,499,0,499,51270,386,0.024168,,,,118,req_011Cb6EKEHEPVTCnukzLzJkh
1778933725,,1,514,0,514,51769,391,0.024483,,,,121,req_011Cb6EKq4Fz3B1s5V7LPevA
1778933732,,1,421,0,421,52283,370,0.023764,,,,123,req_011Cb6ELZHG7in2WLdowu8Kc
1778933743,,1,400,0,400,52704,407,0.024319,,,,125,req_011Cb6EM7mNzpUephYCKTMvj
1778933753,,1,437,0,437,53104,447,0.025261,,,,127,req_011Cb6EMuCMWz4La2JbSVo1n
1778933765,,1,477,0,477,53541,533,0.026922,,,,130,req_011Cb6ENddFxQPPTaSuV9wyo
1778933773,,1,563,0,563,54018,417,0.025841,,,,134,req_011Cb6EPWURjsp6FJiBAoRZ4
1778933780,,1,447,0,447,54581,374,0.024669,,,,136,req_011Cb6EQ9nFhXQYfxUrNJDzx
1778933786,,1,404,0,404,55028,376,0.024575,,,,138,req_011Cb6EQdmVrAJ5ZtZt3eMfU
1778933795,,1,406,0,406,55432,428,0.025489,,,,140,req_011Cb6ER4wpthdhhbJam3eDs
1778933804,,1,556,0,556,55838,430,0.02654,,,,143,req_011Cb6ERieU2b8t9WeGowDHP
1778933817,,1,460,0,460,56394,567,0.028186,,,,146,req_011Cb6ESQjj74f35dVW9sAzf
1778933827,,1,597,0,597,56854,493,0.028036,,,,148,req_011Cb6ETKxGe4HmmwVCNeXQt
1778933836,,1,523,0,523,57451,438,0.026946,,,,150,req_011Cb6EU6Hmpc1iXsMqRobeR
1778933853,,1,468,0,468,57974,421,0.026518,,,,152,req_011Cb6EUnErA7XsKU7Ppx6iX
1778933862,,1,451,0,451,58442,425,0.026617,,,,156,req_011Cb6EW1eXbpji2EufpwhAZ
1778933872,,1,455,0,455,58893,473,0.027496,,,,158,req_011Cb6EWjVTUx3QCCiPExoZ6
1778933897,,1,503,0,503,59348,1024,0.036185,,,,160,req_011Cb6EXUe1ySC1b9Rij6fKB
1778934349,,3,48310,0,48310,12725,354,0.298997,,,heuristic_resume,175,req_011Cb6F7wahpDSoz3ioxmMFB
1778934352,,1,813,0,813,61035,148,0.025412,,,,180,req_011Cb6F8Ub1rGnnsSwAwa4hF
1778934355,,1,4806,0,4806,61848,109,0.049028,,,,184,req_011Cb6F8fWqgEh3zRLo7WzLY
1778934359,,1,6626,0,6626,66654,138,0.061825,,,,189,req_011Cb6F8u2h8fykE6onfWvGR
1778934365,,1,3743,0,3743,73280,109,0.04608,,,,191,req_011Cb6F9Doo1HpuGPp7f929h
1778934369,,1,4514,0,4514,77023,214,0.053404,,,,198,req_011Cb6F9ed3PegqwGcgDXmML
1778934373,,1,6899,0,6899,81537,109,0.067493,,,,202,req_011Cb6F9xhj2A5EXiPx7i6Kw
1778934396,,1,4890,0,4890,88436,1309,0.075509,,,,206,req_011Cb6FACBqxP3ate2WDwY68
1778934416,,1,1481,0,1481,93326,1429,0.058322,,,,214,req_011Cb6FBtJ7zFSKsqBBuDCLX
1778934421,,1,1501,0,1501,94807,194,0.040361,,,,216,req_011Cb6FDQdY12Mw4BsB2eZEn
1778934429,,1,268,0,268,96308,226,0.033893,,,,218,req_011Cb6FDoDqJGunPNgmP2WZx
1778934438,,1,281,0,281,96576,489,0.037997,,,,222,req_011Cb6FEPBVjvWqeUryJHwbZ
1778934447,,1,544,0,544,96857,530,0.040274,,,,225,req_011Cb6FF13kmjp8UoGvzdVoe
1778934485,,1,585,0,585,97401,2258,0.066603,,,,229,req_011Cb6FFfZ1uB378ps3onSW9
1778934497,,1,2314,0,2314,97986,670,0.053333,,,,235,req_011Cb6FJVqD4ndxWQbqWpBCf
1778934514,,1,826,0,826,100300,1247,0.053754,,,,239,req_011Cb6FKLvhYEZGUiqkskpCz
1778934519,,1,1304,0,1304,101126,266,0.042155,,,,241,req_011Cb6FLcizjowvJCEAgwg1b
1778934524,,1,323,0,323,102430,268,0.03669,,,,243,req_011Cb6FM2FMinTMpGBSYRAzp
1778934526,,1,423,0,423,102753,109,0.035002,,,,245,req_011Cb6FMNJ7Q5YGmm6r1mNEu
1778934529,,1,316,0,316,103176,109,0.034487,,,,249,req_011Cb6FMXhQa5Vfih1UGLWVj
1778934533,,1,334,0,334,103492,334,0.038065,,,,251,req_011Cb6FMjhUG7EhAAPhs2GS8
1778934537,,1,391,0,391,103826,110,0.035147,,,,253,req_011Cb6FN3FAJwD8WfSUsFHm4
1778934539,,1,377,0,377,104217,110,0.03518,,,,255,req_011Cb6FNL1DoBr3UYqxfnXgK
1778934543,,1,475,0,475,104594,210,0.037381,,,,257,req_011Cb6FNVwGZ9VKXemYHsVpG
1778934551,,1,366,0,366,105069,586,0.04251,,,,261,req_011Cb6FNk4pxA3h4Jgartdky
1778934554,,1,643,0,643,105435,136,0.037532,,,,264,req_011Cb6FPKcwKxULcURUq5hsB
1778934556,,1,344,0,344,106078,110,0.03554,,,,266,req_011Cb6FPYHBs4xk12TRrGpED
1778934559,,1,1297,0,1297,106422,110,0.041362,,,,270,req_011Cb6FPiYprnjANkwyrr2E6
1778934562,,1,619,0,619,107719,110,0.037683,,,,272,req_011Cb6FPyGMXE9e5nKtt9C11
1778934584,,1,360,0,360,108338,1524,0.057524,,,,274,req_011Cb6FQ9M5dpM2DuEshKnXC
1778934607,,1,1581,0,1581,108698,1555,0.065423,,,,278,req_011Cb6FRoYGVEfSz47CHpjGC
1778934615,,1,1711,0,1711,110279,512,0.051033,,,,282,req_011Cb6FTUmDQToqZcUvgyK8H
1778934619,,1,567,0,567,111990,113,0.038697,,,,287,req_011Cb6FU3vWaNGYcTWz7PnTT
1778934621,,1,221,0,221,112557,72,0.036176,,,,289,req_011Cb6FULUAvpZQ5VJRabg5i
1778934631,,1,269,0,269,112778,94,0.03686,,,,291,req_011Cb6FUXTxgPkByFgskywF4
1778934681,,1,112,0,112,113047,388,0.040409,,,,293,req_011Cb6FYP3ZMrtHXi6sERJQ4
1778934702,,1,472,0,472,113159,416,0.043023,,,,296,req_011Cb6FZnqKrGQmCSywUCYXP
1778934711,,1,542,0,542,113631,146,0.039534,,,,298,req_011Cb6Fauk5TpXnPgDyDD9ZL
1778934716,,1,288,0,288,114173,108,0.037603,,,,302,req_011Cb6FbJVoWTJwsuWzxdKnw
1778934719,,1,209,0,209,114461,112,0.037275,,,,304,req_011Cb6FbXpz2fkswwv4PCuyH
1778934721,,1,404,0,404,114670,102,0.038358,,,,306,req_011Cb6FbhxBwYLs5Zu7JVUCR
1778934734,,1,254,0,254,115074,615,0.045274,,,,308,req_011Cb6FbtesTMBmdj8qfhNXf
1778935840,,1,633,0,633,115328,329,0.043334,,,,312,req_011Cb6H1m6V9QQSBdX3oJM9a
1778936145,,3,501,0,501,115961,365,0.043278,,,,323,req_011Cb6HQMM87D2cfHAPH791h
1778936151,,1,1366,0,1366,116462,300,0.047638,,,,327,req_011Cb6HQpifDVGVpj6GtBSkf
1778936156,,1,752,0,752,117828,355,0.045188,,,,330,req_011Cb6HRJprDxztQsas57fxk
1778936158,,1,431,0,431,118580,109,0.039798,,,,332,req_011Cb6HRejR8tPhstLjGnmbY
1778936162,,1,219,0,219,119011,217,0.040275,,,,336,req_011Cb6HRqiTxweUTnGC9VEzX
1778936166,,1,274,0,274,119230,167,0.039921,,,,339,req_011Cb6HS5RUPdVfyz18w75tQ
1778936170,,1,185,0,185,119504,227,0.040369,,,,344,req_011Cb6HSMuupmA43X4rNQhXd
1778936173,,1,2474,0,2474,119689,79,0.051939,,,,346,req_011Cb6HSfJgEPGs3Z6mGTxZ3
1778936177,,1,756,0,756,122163,201,0.044203,,,,353,req_011Cb6HSvpaQeFzLGxTVijm2
1778936181,,1,1411,0,1411,122919,186,0.048135,,,,357,req_011Cb6HTDBaHfgKUAHhhTTq2
1778936194,,1,2035,0,2035,124330,789,0.061347,,,,363,req_011Cb6HTVjjiVaCr6kWKBFcw
1778936523,,1,1137,0,1137,126365,191,0.0476,1778936400,,,369,req_011Cb6HtScfGgBNho9odE5Qk
1778936540,,1,1141,0,1141,127502,986,0.05989,,,,374,req_011Cb6HtjEHvtQVvvvb2owyg
1778936544,,1,1162,0,1162,128643,143,0.047713,,,,378,req_011Cb6Huyt8Pa3uczz3Rb8Rb
1778936552,,1,299,0,299,129805,531,0.048704,,,,382,req_011Cb6HvGyHZwWymq6Xwj7mB
1778936571,,1,588,0,588,130104,1077,0.058717,,,,385,req_011Cb6Hvst1CdEX37P34VQ6X
1778936575,,1,1136,0,1136,130692,144,0.048187,,,,390,req_011Cb6HxFqP6WRsCe1w6ZkZR
1778936581,,1,1120,0,1120,131828,273,0.050366,,,,395,req_011Cb6HxWonTubndaEsUu3Em
1778936584,,1,381,0,381,132948,111,0.043838,,,,397,req_011Cb6HxyUuNs6TbSTsoJZ4G
1778936616,,1,375,0,375,133329,2950,0.086502,,,,401,req_011Cb6HyD6x94yCWvnpA6JMm
1778936620,,1,3011,0,3011,133704,146,0.06037,,,,406,req_011Cb6J1aUszJWdb19L6MYzD
1778936624,,1,933,0,933,136715,136,0.048656,,,,410,req_011Cb6J1u4akAcTPbESPyByE
1778936633,,1,210,0,210,137648,102,0.044087,,,,412,req_011Cb6J2beMukdfmKNP7e9jR
1778936636,,1,645,0,645,137858,103,0.046775,,,,414,req_011Cb6J2ohu1gE6rWppdRjua
1778936640,,1,3637,0,3637,138503,123,0.065221,,,,418,req_011Cb6J33b4mFj6Ga8TR7JB1
1778936644,,1,155,0,155,142140,106,0.045165,,,,423,req_011Cb6J3Nqx5a8pP86cRugM4
1778936674,,1,293,0,293,142295,453,0.051245,,,,425,req_011Cb6J53e6duyqAS5LzjUWE
1778936801,,1,594,0,594,142588,567,0.054848,,,,428,req_011Cb6JEZFpVhwJcJi43ZakJ
1778936828,,1,896,0,896,143182,580,0.057034,,,,431,req_011Cb6JGJQuYxAYQ6tTcVnfs
1778936931,,1,598,0,598,144078,410,0.052964,,,,433,req_011Cb6JQAe4kKBVV9xdXsBDa
1778937144,,3,2146,0,2146,144676,294,0.060698,,,,444,req_011Cb6Jg3YNaUEbLatF81MFi
1778937149,,1,2179,0,2179,146822,186,0.059914,,,,449,req_011Cb6JgTr7P7ufm7k7bJUwC
1778937153,,1,957,0,957,149001,111,0.05211,,,,451,req_011Cb6JgrswtGCivrcdca7e7
1778937156,,1,728,0,728,149958,83,0.050603,,,,453,req_011Cb6Jh8ej6SFKmM2R9gkTc
1778937170,,1,873,0,873,150686,613,0.059642,,,,457,req_011Cb6JhPNG7fD1aKbBdGceF
1778937207,,1,4258,0,4258,151559,2289,0.105354,,,,464,req_011Cb6JiQffrREmMiwLUAffT
1778937214,,1,2347,0,2347,155817,370,0.06638,,,,466,req_011Cb6Jm9WSNSNjVWVhvpRhi
1778937225,,1,429,0,429,158164,929,0.063961,,,,469,req_011Cb6Jmg8RuA3cHKkLVbnuF
1778937232,,1,990,0,990,158593,293,0.057916,,,,474,req_011Cb6JnVncHaGsyKn3BqXWL
1778937236,,1,354,0,354,159583,181,0.052717,,,,477,req_011Cb6Jnzqr89Za5wTTdTxbx
