ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778899541,,0,0,0,0,0,0,0,1778896800,,clear,3,
1778900459,claude-sonnet-4-6,3,31173,0,31173,0,230,0.190497,1778900400,,heuristic_resume,18,req_011Cb5W3xfphUVnSN7Wv8LpY
1778900467,,1,1729,0,1729,31173,179,0.022414,,,,22,req_011Cb5W4GzPWwTqJQncf52z2
1778900471,,1,6041,0,6041,32902,184,0.04888,,,,28,req_011Cb5W4uNub1BvgaZmNWY1L
1778900474,,1,1568,0,1568,38943,173,0.023689,,,,32,req_011Cb5W599djDV41HMVPfF9v
1778900477,,1,887,0,887,40511,185,0.020253,,,,36,req_011Cb5W5MmuUYnHpKr6CYp6f
1778900480,,1,2695,0,2695,41398,204,0.031652,,,,43,req_011Cb5W5bVAPf9if1d4soCU1
1778900735,,1,1255,0,1255,44093,17896,0.289201,,,,46,req_011Cb5W5rxq2rmNiDBVmraA9
1778900882,,3,17909,0,17909,45348,231,0.124532,,,heuristic_resume,55,req_011Cb5Wb6r4Ybomsj3ek8U64
1778900901,,3,248,0,248,63257,172,0.023054,,,,64,req_011Cb5WcZLYZmoFcVggmwXXB
1778900909,,1,199,0,199,63505,418,0.026519,,,,67,req_011Cb5Wcu2xoNyicZsfkUTQk
1778900971,,1,436,0,436,63704,813,0.033925,,,,69,req_011Cb5WguCF6TzFibuK1QKat
1778900984,,1,846,0,846,64140,684,0.034581,,,,71,req_011Cb5WiAQpBnCDBnkHBwUik
1778900995,,1,812,0,812,64986,580,0.033071,,,,74,req_011Cb5Wj8Smtz31bzWXz5rgV
1778901007,,1,610,0,610,65798,639,0.032987,,,,76,req_011Cb5WjvmahwKebzxZyYLP4
1778901016,,1,669,0,669,66408,495,0.031364,,,,78,req_011Cb5Wkmwnn68CGWYdqzsfN
1778901032,,1,525,0,525,67077,833,0.035771,,,,83,req_011Cb5WmSsrHR1W7mEgekT4r
1778901045,,1,866,0,866,67602,661,0.035395,,,,85,req_011Cb5WndVbgsYjeagDthQNU
1778901054,,1,691,0,691,68468,563,0.033134,,,,87,req_011Cb5WoZvKXMEkb6odiGbyg
1778901064,,1,593,0,593,69159,607,0.033414,,,,89,req_011Cb5WpFmCoJ659dTRFpmME
1778901075,,1,637,0,637,69752,568,0.033271,,,,91,req_011Cb5Wq1n6x7qzptrdkzFdD
1778901086,,1,598,0,598,70389,598,0.033678,,,,93,req_011Cb5Wqr9wUMHNtToocBzaJ
1778901099,,1,726,0,726,70987,698,0.036125,,,,96,req_011Cb5WrdLYAXzcBUJrGQuqJ
1778901115,,1,728,0,728,71713,772,0.037465,,,,99,req_011Cb5WscwFhZHJTJNTnbSLk
1778901152,,1,805,0,805,72441,2695,0.06699,,,,103,req_011Cb5WtnpbyGaPyFmDM2rqz
1778901239,,1,2832,0,2832,73246,706,0.049559,,,,106,req_011Cb5X2efwHHotQTDQosmXy
1778901260,,1,739,0,739,76078,1418,0.04853,,,,108,req_011Cb5X3v3vbhNVWc6dzYiyH
1778901279,,1,1505,0,1505,76817,654,0.041888,,,,111,req_011Cb5X5s97LPPWEWmmV95sB
1778901304,,1,687,0,687,78322,1743,0.053767,,,,113,req_011Cb5X6pBHsCx4Cjqeefy7U
1778901325,,1,1947,0,1947,79009,642,0.045018,,,,119,req_011Cb5X9F1anLfuGZmnGBS4K
1778901349,,1,675,0,675,80956,1486,0.05063,,,,121,req_011Cb5XAHCKqDFLY8ijmH36D
1778901371,,1,1573,0,1573,81631,840,0.04653,,,,123,req_011Cb5XCPQCHNvBYWuqt3Fds
1778901398,,1,873,0,873,83204,2011,0.060367,,,,125,req_011Cb5XDdej2xyfQufEqUQKu
1778901418,,1,2117,0,2117,84077,685,0.048203,,,,127,req_011Cb5XG8aLGQqArEme6Rjay
1778901439,,1,718,0,718,86194,1469,0.052204,,,,129,req_011Cb5XH7oxxoUwtiJER8sVE
1778901450,,1,1575,0,1575,86912,144,0.037687,,,,134,req_011Cb5XK8sXMf98C2xQ6kSBu
1778901457,,1,835,0,835,88487,355,0.036884,,,,136,req_011Cb5XKQye66hgrX8GyfYbY
1778902711,,3,3894,0,3894,89322,232,0.05365,,,,149,req_011Cb5Yux8wvWUP2G1hVhfKT
1778902758,,1,643,0,643,93216,190,0.034676,,,,153,req_011Cb5YyTqTyAWfaDdfxM7tW
1778902792,,1,2045,0,2045,93859,2093,0.071826,,,,159,req_011Cb5YyiMqSXvyMBpn53PxR
