ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778918168,,0,0,0,0,0,0,0,1778914800,,clear,3,
1778918175,claude-sonnet-4-6,3,20123,0,20123,12725,202,0.127595,,,heuristic_resume,14,req_011Cb5tZpV6T2eQ5XWtW14bd
1778918364,,1,569,0,569,32848,1348,0.033491,,,,17,req_011Cb5tn9yT5uwYadkDPzr7F
1778918381,,1,1378,0,1378,33417,812,0.030476,,,,19,req_011Cb5tpGXeZ8nTDgeXhFDSR
1778918404,,1,842,0,842,34795,1032,0.030974,1778918400,,,21,req_011Cb5tqYc4kcsmv7Rqw1qBs
1778918427,,1,1062,0,1062,35637,1145,0.034241,,,,23,req_011Cb5tsAtA7xmKvjT5BiGuh
1778918450,,1,1175,0,1175,36699,1123,0.034908,,,,25,req_011Cb5tttRkyUazqhhu3UGaq
1778918477,,1,1153,0,1153,37874,1311,0.037948,,,,30,req_011Cb5tvbt9aFyjXB94xyw5n
1778918489,,1,1439,0,1439,39027,593,0.02924,,,,33,req_011Cb5txZg1FdUb6y4wxQWYh
1778918892,,3,612,0,612,40466,253,0.019616,,,,42,req_011Cb5uUiMySDjvFGwwLX4a2
1778918894,,1,2090,0,2090,41078,137,0.026921,,,,46,req_011Cb5uV4L21e35rFKdNLdMq
1778918897,,1,5445,0,5445,43168,141,0.047738,,,,52,req_011Cb5uVEkLJwpd2Ls7TFsXt
1778918900,,1,1252,0,1252,48613,144,0.024259,,,,56,req_011Cb5uVTHe6WnXAyoABqxHE
1778918903,,1,2206,0,2206,49865,143,0.030344,,,,60,req_011Cb5uVfRe2QX9zLgccSKex
1778918906,,1,2286,0,2286,52071,152,0.03162,,,,67,req_011Cb5uVs6rvBwH5kJrCSvkV
1778918909,,1,1890,0,1890,54357,167,0.030155,,,,71,req_011Cb5uW6RoTvi4rHigzbsyP
1778918918,,1,6910,0,6910,56247,261,0.062252,,,,79,req_011Cb5uWKoiACrePNt6uFzps
1778918921,,1,2067,0,2067,63157,158,0.033722,,,,83,req_011Cb5uX1Ny65zeLRVvd2RP5
1778918930,,1,2247,0,2247,65224,458,0.039922,,,,91,req_011Cb5uXEKLSXiH84m3edKr3
1778918936,,1,1874,0,1874,67471,294,0.035898,,,,96,req_011Cb5uXtLaZgiUK7Dv6wRw7
1778918940,,1,372,0,372,69345,245,0.026714,,,,98,req_011Cb5uYLDa5dZxxHpFWkZXo
1778918943,,1,323,0,323,69717,206,0.025946,,,,102,req_011Cb5uYas8iTyMSKK2Esncp
1778918947,,1,265,0,265,70040,239,0.02619,,,,106,req_011Cb5uYpDZPNhm8vdF2bm18
1778918955,,1,300,0,300,70305,726,0.033785,,,,110,req_011Cb5uZ5bXbYU1oNs4oCBFR
1778918960,,1,789,0,789,70605,361,0.031334,,,,114,req_011Cb5uZj2YZmfrMzZ9wievR
1778918966,,1,519,0,519,71394,265,0.02851,,,,119,req_011Cb5ua3ihHWDkSY5gfmopf
1778918970,,1,439,0,439,71913,337,0.029266,,,,122,req_011Cb5uaX3VvJgdRF77jJdWy
1778918976,,1,396,0,396,72352,452,0.030865,,,,125,req_011Cb5uapkriPrv8v2mKWT3b
1778918980,,1,511,0,511,72748,149,0.027128,,,,130,req_011Cb5ubGpmAiTdqAr1dVV7K
1778918997,,1,167,0,167,73259,1167,0.040488,,,,133,req_011Cb5uba1sNogUZrET4RZQT
1778919003,,1,1224,0,1224,73426,320,0.034175,,,,137,req_011Cb5ucqY3uqPY1YManimcg
1778919009,,1,382,0,382,74650,384,0.03045,,,,139,req_011Cb5udEHGgtjG2U23pRozR
1778919013,,1,545,0,545,75032,298,0.030253,,,,144,req_011Cb5udhbLbVjyeM4mFhWyg
1778919020,,1,360,0,360,75577,535,0.032861,,,,148,req_011Cb5ue1WrChJbmS8p3SpoC
1778919027,,1,597,0,597,75937,133,0.028361,,,,151,req_011Cb5ueX6qTZsP4K5CP1bgk
1778919034,,1,2089,0,2089,76534,397,0.041452,,,,155,req_011Cb5uf2DJ8Ncz18sCEixAf
1778919039,,1,456,0,456,78623,287,0.030631,,,,161,req_011Cb5ufWLE9yxM3HGB7S1RQ
1778919048,,1,349,0,349,79079,731,0.036786,,,,163,req_011Cb5ufsk64nKF8SoSnNbS2
1778919067,,1,892,0,892,79428,1233,0.047678,,,,168,req_011Cb5ugYTzYrtZHJ8LWVNBN
1778919070,,1,1292,0,1292,80320,110,0.033501,,,,173,req_011Cb5uhym3WBEE1Q6DvQ1ae
1778919072,,1,1051,0,1051,81612,77,0.031948,,,,175,req_011Cb5uiAjLq399jkcNY7h5P
1778919073,,1,139,0,139,82663,75,0.026761,,,,177,req_011Cb5uiJwhh9ndSQwPJS4ND
1778919079,,1,3556,0,3556,82802,280,0.05038,,,,183,req_011Cb5uiSMSxrwqCUtJTR2dT
1778919082,,1,337,0,337,86358,132,0.029912,,,,186,req_011Cb5uiqhPdy264uWN96nTp
1778919092,,1,4172,0,4172,86695,576,0.059684,,,,193,req_011Cb5uj3CwV7Y1Uw45hPqNQ
1778919096,,1,633,0,633,90867,315,0.035786,,,,196,req_011Cb5ujnJmihPNSvK5ZZU6z
