ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779017042,,0,0,0,0,0,0,0,1779015600,,clear,3,
1779017062,claude-sonnet-4-6,3,17549,0,17549,12725,303,0.113666,,,heuristic_resume,19,req_011Cb84FCpuHsz5byvmaDwVx
1779017067,,1,2963,0,2963,30274,137,0.028918,,,,25,req_011Cb84FaoVaGyZr4engMFMQ
1779017070,,1,2994,0,2994,33237,139,0.030023,,,,29,req_011Cb84FxqoegNBwCYi92c5k
1779017072,,1,2264,0,2264,36231,79,0.025641,,,,33,req_011Cb84GAcyjjzRRVHLkJ8Xd
1779017099,,1,3183,0,3183,38495,1547,0.053855,,,,39,req_011Cb84GKgSBYXzCyBrmLDmv
1779017103,,1,2698,0,2698,41678,218,0.031964,,,,46,req_011Cb84JKkTmHVuWHUuCFT1P
1779017141,,1,1206,0,1206,44376,2248,0.054272,,,,51,req_011Cb84JeTbk3C1D5dVj4ESA
1779017144,,1,3236,0,3236,45582,141,0.035209,,,,55,req_011Cb84MRqQr1Rto9PDbJoqZ
1779017189,,1,2535,0,2535,48818,3198,0.077828,,,,62,req_011Cb84Mc6Z45dW3DvsAmSQH
1779017192,,1,3256,0,3256,51353,191,0.03781,,,,66,req_011Cb84QxUENNVGMWShEqRxf
1779017196,,1,368,0,368,54609,248,0.022314,,,,69,req_011Cb84RBhDcCWrE1AfLbnit
1779017201,,1,326,0,326,54977,379,0.024137,,,,75,req_011Cb84RUhfZUPtKKrFxkCGC
1779017205,,1,459,0,459,55303,204,0.022408,,,,77,req_011Cb84RsXMZXVmPKoh4Up2M
1779017213,,1,265,0,265,55762,686,0.028612,,,,80,req_011Cb84S6VTuFnFuzzNEUq43
1779017215,,1,747,0,747,56027,133,0.023288,,,,85,req_011Cb84SikHmWr51TLtEVn1Q
1779017218,,1,344,0,344,56774,127,0.021004,,,,87,req_011Cb84StpmDBUUWn69jfMmn
1779017225,,1,228,0,228,57118,492,0.025886,,,,92,req_011Cb84T5bREUmfTQPUqtCSs
1779017228,,1,650,0,650,57346,166,0.023597,,,,95,req_011Cb84TaaSRqU4ET7JUQKja
1779017230,,1,225,0,225,57996,126,0.020642,,,,98,req_011Cb84ToezYLRJrXQ766vGw
1779017245,,1,482,0,482,58221,1248,0.039081,,,,100,req_011Cb84Tz1qXAn1TnESieyki
1779017247,,1,1307,0,1307,58703,132,0.027436,,,,105,req_011Cb84V4idp8obHZxyYo416
1779017251,,1,741,0,741,60010,112,0.024132,,,,108,req_011Cb84VL3NuLPCHsQEqeqKQ
