ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779022101,,0,0,0,0,0,0,0,1779019200,,clear,3,
1779022374,claude-sonnet-4-6,3,17064,0,17064,13091,350,0.11157,,,heuristic_resume,19,req_011Cb8Azfb8RTekHU1tbyAtF
1779022375,,1,670,0,670,30155,80,0.01427,,,,21,req_011Cb8B188oLf5VjfFtqEAcA
1779022381,,1,1267,0,1267,30825,262,0.020783,,,,27,req_011Cb8B1GKBCadeHVhjNYuwM
1779022384,,1,595,0,595,32092,77,0.014356,,,,30,req_011Cb8B1ndKjof176XTAhsXv
1779022395,,1,1409,0,1409,32687,495,0.025688,,,,35,req_011Cb8B1x6b4zgVFoBLjM32q
1779022399,,1,1058,0,1058,34096,234,0.02009,,,,38,req_011Cb8B2fp5Z2RikS6Vb2vbU
1779022424,,1,416,0,416,35154,497,0.0205,,,,47,req_011Cb8B4BNc79phKPUmLL4nz
1779022434,,1,942,0,942,35570,388,0.022146,,,,51,req_011Cb8B58P3oP1rMbWcd28t9
1779022490,,1,1124,0,1124,36512,651,0.027466,,,,57,req_011Cb8B8tErfKyTp6RVJeRxH
1779022492,,1,812,0,812,37636,113,0.017861,,,,59,req_011Cb8B9iQHrNFWGbeMJTXR7
1779022515,,1,1162,0,1162,38448,1106,0.035099,,,,64,req_011Cb8B9rvkkhu7wo3BsXDm3
1779022518,,1,2340,0,2340,39610,121,0.027741,,,,66,req_011Cb8BBXfvurdX21xUJE9aR
1779022519,,1,197,0,197,41950,92,0.01515,,,,68,req_011Cb8BBjwcmS4AcsXzUkfcF
1779022531,,1,1398,0,1398,42147,625,0.03041,,,,73,req_011Cb8BBsjRmKSMBYhoEDZ44
1779022577,,1,831,0,831,43545,1308,0.037673,,,,81,req_011Cb8BEUt69S5FeHYaNBUeq
1779022591,,1,1493,0,1493,44376,906,0.035864,,,,86,req_011Cb8BG6HbPrq3D5AyDaB6F
1779022595,,1,2608,0,2608,45869,272,0.033492,,,,96,req_011Cb8BH9qC6D98Qvq1CxhjR
1779022600,,1,568,0,568,48477,381,0.023669,,,,101,req_011Cb8BHT819NuVCWgotQPoL
1779022604,,1,578,0,578,49045,185,0.02096,,,,105,req_011Cb8BHpHyao5qrm84vCiLB
1779022607,,1,247,0,247,49623,208,0.019492,,,,109,req_011Cb8BJ5SJapH73bJJ9PWFs
1779022611,,1,270,0,270,49870,229,0.020019,,,,112,req_011Cb8BJHwdanLuGgY6msbCi
1779022639,,1,669,0,669,50140,1543,0.042204,,,,116,req_011Cb8BJdeYhVGeRMDFScUif
1779022648,,1,1554,0,1554,50809,91,0.025935,,,,118,req_011Cb8BMBS3qThnK2oFbngNG
1779022659,,1,548,0,548,52363,132,0.02098,,,,123,req_011Cb8BMuUsz8UoanDrS9TWQ
1779022719,,1,3009,0,3009,52911,3335,0.083955,,,,129,req_011Cb8BN9eAqeaiJWiwFWznm
1779022765,,1,3481,0,3481,55920,99,0.03915,,,,132,req_011Cb8BVmnkMZCLtnuhSyUCg
1779022972,,1,169,0,169,59401,181,0.021552,1779022800,,,134,req_011Cb8Bm1CK2z9pz3WdHwLUK
1779022995,,1,240,0,240,59570,104,0.020874,,,,136,req_011Cb8Bnkb3Q7pDgeS9B7uE8
1779023094,,1,252,0,252,59810,175,0.022083,,,,138,req_011Cb8Bv3w1v1qPRdveywAA6
1779023319,,1,210,0,210,60062,305,0.023857,,,,144,req_011Cb8CCQZwbCgnuCFGk72V8
1779023398,,1,588,0,588,60272,174,0.024223,,,,149,req_011Cb8CJJMoFNEjKqELQN4yU
1779023416,,1,1765,0,1765,60860,847,0.041556,,,,152,req_011Cb8CJfnQKinpPfB9UmMc4
1779023433,,1,1188,0,1188,62625,698,0.036389,,,,157,req_011Cb8CLFnaRwFQcC3n3GxeM
