ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1778996876,,0,0,0,0,0,0,0,1778994000,,clear,3,
1778996891,claude-sonnet-4-6,3,18170,0,18170,12725,170,0.115397,,,heuristic_resume,13,req_011Cb7ccNQfxkVoyuaF2EL85
1778996921,,1,190,0,190,30895,2038,0.040982,,,,16,req_011Cb7cckQkkQAcf91huCTSM
1778996924,,1,2068,0,2068,31085,62,0.022667,,,,20,req_011Cb7cexhEu2gUyrjotH4qL
1778997058,,3,1160,0,1160,33153,1463,0.03886,,,,30,req_011Cb7coS1GurjpF7cwzqKdt
1778997169,,3585,3922,0,3922,34313,3471,0.096646,,,,42,req_011Cb7cu61AnPX7QhamptgsM
1778997173,,1,7303,0,7303,38235,250,0.059042,,,,48,req_011Cb7cyDVEfPoV7d1knhNY3
1778997245,,1,818,0,818,45538,3777,0.075227,,,,54,req_011Cb7czNw36YJauGF7GUYBZ
1778997248,,1,3831,0,3831,46356,115,0.038621,,,,60,req_011Cb7d4oqMZDYQWG3qV7XEg
1778997251,,3,775,0,775,50187,147,0.02192,,,,62,req_011Cb7d4zGuvJ7FKqYb7J2Nb
1778997425,,1,3284,0,3284,50962,250,0.038746,,,,74,req_011Cb7dHnFxvgtLnfjwgbQ6r
1778997430,,1,3308,0,3308,54246,340,0.041225,,,,84,req_011Cb7dJ64nB1B2n8RmfFXNF
1778997464,,1,3292,0,3292,57554,1636,0.061561,,,,94,req_011Cb7dJSqgnD9Ddfr9Y6t5m
1778997504,,1,1692,0,1692,60846,2188,0.061229,,,,117,req_011Cb7dLxXgjLgyjUAP719Yp
1778997507,,1,2648,0,2648,62538,164,0.037112,,,,126,req_011Cb7dPrE11jvKuESKT4aYZ
1778997525,,1,1734,0,1734,65186,978,0.044633,,,,132,req_011Cb7dQ6i9AgFeB1qY7H2f6
1778997720,,1,1043,0,1043,66920,101,0.027852,1778997600,,,135,req_011Cb7dfNBEYoowYw7U6anRe
1778997786,,1,9864,0,9864,67963,4261,0.143491,,,,144,req_011Cb7dfpkeb2nzti9UgQaG1
1778997791,,1,4321,0,4321,77827,179,0.051962,,,,154,req_011Cb7dkfqWRRu4mG2XjCcHE
1778997810,,1,2910,0,2910,82148,902,0.055637,,,,156,req_011Cb7dm3guWqSCDdWpNnRcQ
1778997824,,1,1060,0,1060,85058,701,0.042395,,,,165,req_011Cb7dnSXNDfpqSu69u1kt9
