ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779073396,,0,0,0,0,0,0,0,1779073200,,clear,3,
1779073406,,0,0,0,0,0,0,0,,,model_change,7,
1779073418,claude-opus-4-7,6,42120,0,42120,0,187,0.425905,,,heuristic_resume,17,req_011Cb9HsNLB7RiBWVZ6E32Fi
1779073423,,6,48579,0,48579,0,189,0.490545,,,heuristic_resume,20,req_011Cb9HssnipGP9VydPoFLnc
1779073426,,1,539,0,539,48579,141,0.03321,,,,22,req_011Cb9HtDV92zccU4hqJSc4g
1779073430,,1,1705,0,1705,49118,142,0.045164,,,,27,req_011Cb9HtTmP2mPN7Q6dP5yty
1779073443,,1,2003,0,2003,50823,678,0.062397,,,,30,req_011Cb9HthvAsdQh6gFWJmjDd
1779073446,,1,1126,0,1126,52826,143,0.041253,,,,32,req_011Cb9Huh18jsc6GAZZjAiTt
1779073467,,1,1257,0,1257,53952,1157,0.068476,,,,36,req_011Cb9Hv1LTMAA3PVEaMYiMm
1779073705,,1,2426,0,2426,55209,277,0.058795,,,,42,req_011Cb9JEbK7B6HvWSGo1sHco
1779073708,,1,750,0,750,57635,142,0.039873,,,,44,req_011Cb9JF1BZKFckCCdwkrtyb
1779073743,,1,1533,0,1533,58385,1917,0.092453,,,,49,req_011Cb9JFFtqaUQnptwWjTfd5
1779073747,,1,1991,0,1991,59918,47,0.051049,,,,51,req_011Cb9JHsRp9pEPdt4egGt5D
1779073780,claude-sonnet-4-6,1,48914,0,48914,0,2481,0.330702,,,heuristic_resume,61,req_011Cb9JJavf1AyqrgXUSeRiu
1779073788,,1,2561,0,2561,48914,247,0.033748,,,,64,req_011Cb9JLhExz4swfH86PA71N
1779073985,,3,881,0,881,51475,1861,0.048653,,,,70,req_011Cb9JZK2rVsRDPVx5ptFNs
1779074231,,3,2138,0,2138,52356,211,0.031709,,,,81,req_011Cb9JuTUAHNEae6fsdBrJP
1779074234,,1,231,0,231,54494,119,0.019522,,,,83,req_011Cb9Jur3y3zBFppPT12UqY
1779074237,,1,444,0,444,54725,79,0.02027,,,,85,req_011Cb9Jv2ZjiaD5eqUd5DfT5
1779074258,,1,2250,0,2250,55169,1122,0.046884,,,,88,req_011Cb9JvCdifB1oJEAZyVRrA
1779074268,,1,1347,0,1347,57419,113,0.027006,,,,95,req_011Cb9JxKfSgt641xo62Wsef
1779074291,,1,872,0,872,58766,1160,0.040265,,,,98,req_011Cb9JxmMmzveVb9JxxzVYX
1779074295,,1,1300,0,1300,59638,123,0.027539,,,,100,req_011Cb9JzFMHvza2ENvebBCry
1779074298,,1,287,0,287,60938,171,0.022571,,,,102,req_011Cb9JzV449MZuCXSFR9Yum
1779074302,,1,369,0,369,61225,145,0.02276,,,,104,req_011Cb9Jzo7VsebYnTLUk1N4S
1779074305,,1,233,0,233,61594,111,0.021544,,,,106,req_011Cb9K15Ds8KYqqCjnFrThf
1779074308,,1,544,0,544,61827,117,0.02357,,,,108,req_011Cb9K1GKrtAkPC2BQfxeS5
1779074313,,1,261,0,261,62371,103,0.021825,,,,114,req_011Cb9K1XPE4cWGXYMe6GFHS
1779074316,,1,480,0,480,62632,106,0.023263,,,,116,req_011Cb9K1sQzCbeDuvSxrDjaA
1779074320,,1,124,0,124,63112,111,0.021346,,,,118,req_011Cb9K24zzmdwTuPMsirCig
1779074329,,1,616,0,616,63236,488,0.02999,,,,122,req_011Cb9K2NXhMvoN3z24h8sba
1779074334,,1,509,0,509,63852,113,0.023908,,,,124,req_011Cb9K37TcV21nJZcvMWAb3
1779074338,,1,338,0,338,64361,129,0.023274,,,,126,req_011Cb9K3QLs2EH9QyRKTJB4B
1779074341,,1,178,0,178,64699,120,0.022281,,,,128,req_011Cb9K3g3vnbaTiJwAZmRee
1779074344,,1,169,0,169,64877,111,0.022145,,,,130,req_011Cb9K3uVobUtj88HUsW97V
1779074349,,1,160,0,160,65046,111,0.022142,,,,132,req_011Cb9K4Aukz6fDQFumG1o7K
1779074351,,1,406,0,406,65206,114,0.023711,,,,138,req_011Cb9K4ULW8SBuQnWh5QW45
1779074355,,1,601,0,601,65612,115,0.025018,,,,140,req_011Cb9K4iFAgAsdhjkYfvdaU
1779074367,,1,1018,0,1018,66213,775,0.0376,,,,144,req_011Cb9K4urAxvXNVR95mtLr7
1779074369,,1,1034,0,1034,67231,111,0.028041,,,,147,req_011Cb9K5nUSHpxMHgzLqbk3v
1779074374,,1,665,0,665,68265,367,0.029978,,,,151,req_011Cb9K5zk8M5EYdQwQWEozm
1779074380,,1,445,0,445,68930,472,0.030432,,,,157,req_011Cb9K6K1URSgXZR8HttSpM
1779074383,,1,531,0,531,69375,111,0.025667,,,,159,req_011Cb9K6k76G1YZoPHZoMm1A
1779074386,,1,350,0,350,69906,111,0.02474,,,,161,req_011Cb9K72BifW9P1TfKZRQ6w
1779074390,,1,296,0,296,70256,238,0.026426,,,,163,req_011Cb9K7Ed5VTAfXPrqqaH8s
1779074395,,1,297,0,297,70552,287,0.027256,,,,166,req_011Cb9K7XDxxUafi9wpKf5Cc
1779074403,,1,348,0,348,70849,420,0.029646,,,,170,req_011Cb9K7qZ2wwp4StqrDwW1U
1779074408,,1,582,0,582,71197,405,0.030929,,,,178,req_011Cb9K8ThuspYwsarScysez
1779074410,,1,468,0,468,71779,137,0.0264,,,,181,req_011Cb9K8oMrdz6PvZ3TNF8FW
1779074414,,1,477,0,477,72247,278,0.028709,,,,183,req_011Cb9K8zCxscJrWQfMhzise
1779074419,,1,337,0,337,72724,493,0.031237,,,,187,req_011Cb9K9EhbqfCvwVuBvabgL
1779074430,,1,554,0,554,73061,1059,0.04113,,,,194,req_011Cb9K9esQMKG8PHxeLhP6G
1779074433,,1,1120,0,1120,73615,142,0.030938,,,,197,req_011Cb9KATBiQz4SMPWuwHBUN
1779074437,,1,413,0,413,74735,322,0.029732,,,,199,req_011Cb9KAgG2UeSZhexnPZo4U
1779074442,,1,480,0,480,75148,259,0.029312,,,,208,req_011Cb9KAzfoReBXLrRQgmjHo
1779074445,,1,318,0,318,75628,134,0.026609,,,,212,req_011Cb9KBLNiiLeGR1Km7xWn7
1779074450,,1,405,0,405,75946,259,0.029102,,,,214,req_011Cb9KBZgufWYQqMmNQafNq
1779074456,,1,321,0,321,76351,397,0.030789,,,,218,req_011Cb9KBwc2wZwFNZxKf4e76
1779074460,,1,458,0,458,76672,144,0.027913,,,,225,req_011Cb9KCQjBd8ZXLrLnvoyse
1779074470,,1,156,0,156,77130,109,0.025713,,,,227,req_011Cb9KDEfEGLmLoHPyFcTHj
1779074475,,1,1051,0,1051,77286,312,0.034175,,,,232,req_011Cb9KDRyNmyteaU3MB6tzz
1779074478,,1,373,0,373,78337,125,0.027617,,,,234,req_011Cb9KDjgjY7GtpNZpgn68k
1779074483,,1,279,0,279,78710,134,0.0273,,,,237,req_011Cb9KDzrJFwhenDs4WJp9t
1779074495,,1,296,0,296,78989,113,0.027171,,,,239,req_011Cb9KF2RqH5cpJ7vSazLNy
1779074501,,1,1408,0,1408,79285,314,0.036947,,,,246,req_011Cb9KFFRBPFyWuV3n5dNrb
1779074504,,1,1604,0,1604,80693,113,0.03553,,,,248,req_011Cb9KFgCgmdfSZYKuunS5t
1779074510,,1,338,0,338,82297,628,0.03614,,,,252,req_011Cb9KFt26Qi4EyHKJWZdvq
1779074514,,1,788,0,788,82635,247,0.033227,,,,255,req_011Cb9KGMbXgfSNUn2oUMbYT
1779074517,,1,308,0,308,83423,209,0.030013,,,,261,req_011Cb9KGcisEfrKubir9RMXh
1779074523,,1,270,0,270,83731,197,0.029697,,,,263,req_011Cb9KGtPwhNTggv5FcX9dc
1779074528,,1,258,0,258,84001,203,0.029796,,,,265,req_011Cb9KHJ6xxd4qALKAb6iGx
1779074532,,1,264,0,264,84259,199,0.02985,,,,267,req_011Cb9KHjKX3WMKDNXLayAeb
1779074535,,1,260,0,260,84523,91,0.028285,,,,273,req_011Cb9KHxDAWH5FsQwf4XiYm
1779074548,,1,243,0,243,84783,114,0.028606,,,,275,req_011Cb9KJxADD2PLveBk1NDXQ
1779074553,,1,544,0,544,85026,142,0.030905,,,,277,req_011Cb9KKHDgmsnR1JPrtZ9o7
1779074577,,1,7789,0,7789,85570,153,0.074703,,,,295,req_011Cb9KLx64CL9NjCsUff5GZ
1779074586,,1,884,0,884,93359,108,0.034935,,,,298,req_011Cb9KMi6DE8kT3qFcvwtSD
1779074608,,1,229,0,229,94243,158,0.03202,,,,300,req_011Cb9KPHqWMUVU3M3dGScwE
1779074633,,1,227,0,227,94472,118,0.031477,,,,302,req_011Cb9KRCrB5owTjwZBdwg84
1779074641,,1,260,0,260,94699,324,0.034833,,,,305,req_011Cb9KRYdoPAeHA3pLhcfwo
1779074644,,1,349,0,349,94959,106,0.032175,,,,307,req_011Cb9KS1XZcT2CXycU6XAbv
1779074650,,1,130,0,130,95308,261,0.03329,,,,309,req_011Cb9KSBWqDXUBKULqL7soF
1779074667,,0,0,0,0,0,0,0,,,model_change,313,
1779074686,,3,537,0,537,95438,171,0.034427,,,,327,req_011Cb9KV2UCdU2kwCNrqXLtb
1779074689,,1,419,0,419,95975,114,0.03302,,,,329,req_011Cb9KVL3P1ftxAJiGdjUXo
1779074692,,1,872,0,872,96394,109,0.035788,,,,331,req_011Cb9KVXA7SUVJeXqdqzsk3
1779074698,,1,276,0,276,97266,255,0.034664,,,,333,req_011Cb9KVibCMoSbp22Lo2JjY
1779074770,,3,501,0,501,97542,617,0.041533,,,,340,req_011Cb9KakkZaGGKtzrotbmqL
1779074904,,3,98849,0,98849,0,236,0.596643,,,cost_warn|heuristic_resume,354,req_011Cb9KkmxGjJj7JGmKKXGPv
1779074915,,1,1137,0,1137,98849,113,0.038175,,,,356,req_011Cb9Kmzqwn5fGrMkW7S5rU
1779074922,,1,1891,0,1891,99986,113,0.04304,,,,358,req_011Cb9KnLuCBt25nzDT2Uu7N
1779074928,,1,1736,0,1736,101877,188,0.043802,,,,365,req_011Cb9KnnYYxpPAkVrPrZryH
1779074930,,1,206,0,206,103613,116,0.034063,,,,367,req_011Cb9Ko964kCBc8ynpL4FPB
1779074934,,1,291,0,291,103819,114,0.034605,,,,369,req_011Cb9KoLPxyCFM975mahnRu
1779074938,,1,824,0,824,104110,125,0.038055,,,,371,req_011Cb9KodPfZeTd8gfKWG9Rt
1779074940,,1,173,0,173,104934,115,0.034246,,,,373,req_011Cb9KorvFgx2JBGtGXhiaj
1779074943,,1,293,0,293,105107,114,0.035003,,,,376,req_011Cb9Kp4ZVE4U7JJeWJ3zGP
1779074950,,1,797,0,797,105400,586,0.045195,,,,380,req_011Cb9KpEotCDATcGi2PdiaW
1779074956,,1,667,0,667,106197,193,0.038759,,,,387,req_011Cb9KpmA1nDqLbndHrvNVN
1779074961,,1,255,0,255,106864,227,0.036997,,,,390,req_011Cb9KqEjwgVgzBvYDHqhkR
1779074964,,1,288,0,288,107119,184,0.036627,,,,392,req_011Cb9KqbcJq2nATPYjbiunJ
1779074969,,1,245,0,245,107407,251,0.03746,,,,394,req_011Cb9KqrKqdVLeiYugjUwA7
1779074973,,1,312,0,312,107652,282,0.038401,,,,396,req_011Cb9KrAfQhmDYwYXzct1za
1779074981,,1,442,0,442,107964,286,0.039334,,,,400,req_011Cb9KrVvY5Lcos5dJVaA9K
1779074987,,1,347,0,347,108406,356,0.039947,,,,403,req_011Cb9Ks72QUY4Pi3xVL9rME
1779074991,,1,417,0,417,108753,108,0.036751,,,,410,req_011Cb9KsZ4pdWBFHdiNvZjne
1779074998,,1,290,0,290,109170,115,0.036219,,,,412,req_011Cb9Kt6xU5AJFCYtLcyrXA
1779075004,,1,453,0,453,109460,196,0.038499,,,,415,req_011Cb9KtKZzaBCLD4ezaCNeK
1779075008,,1,639,0,639,109913,205,0.039886,,,,418,req_011Cb9KtmPGBtVWtgL2TPi2Z
1779075011,,1,440,0,440,110552,115,0.037534,,,,421,req_011Cb9Ku5bPWDKVNsoTE3Mwe
1779075017,,1,256,0,256,110992,410,0.040987,,,,425,req_011Cb9KuGdAPbyHE739bYiNC
1779075021,,1,473,0,473,111248,327,0.04112,,,,427,req_011Cb9Kuhc5sBf7LKws2BHkD
1779075025,,1,390,0,390,111721,100,0.037359,,,,433,req_011Cb9Kv5YwCNFafamoFzfdF
1779075031,,1,131,0,131,112111,121,0.036237,,,,435,req_011Cb9KvW45tmSSxn6EBsHEc
1779075060,,1,183,0,183,112242,383,0.040519,,,,437,req_011Cb9KxFMrDezyRKQcAD6y6
1779075135,,3,401,0,401,112425,141,0.038258,,,,443,req_011Cb9L4BPQ2DQ5msjrru1Hj
1779075142,,3,534,0,534,112826,189,0.039896,,,,447,req_011Cb9L4QMkXYRo13jFnMJpu
1779075177,,1,424,0,424,113360,1436,0.058095,,,,453,req_011Cb9L5fuRNtsD9eoic51zc
1779075199,,1,1565,0,1565,113784,129,0.045463,,,,459,req_011Cb9L8rKKXsss2KRu3J6JX
1779075205,,1,208,0,208,115349,470,0.042906,,,,461,req_011Cb9L97aLtmhTFgs5PZjNh
1779075210,,1,709,0,709,115557,198,0.041894,,,,463,req_011Cb9L9fRzzhYXQgL71vSjp
1779075215,,1,1369,0,1369,116266,255,0.046922,,,,465,req_011Cb9L9xuEQHqac9JaW1UzY
1779075252,,1,581,0,581,117635,2089,0.070115,,,,469,req_011Cb9LAHHGrt7ZED7FFFRbm
1779075271,,1,2194,0,2194,118216,1016,0.063872,,,,477,req_011Cb9LDCfYYN1mqWmv4KC77
1779075319,,1,1295,0,1295,120410,2341,0.079011,,,,481,req_011Cb9LEmXkmhdgCBv4cyvm5
1779075401,,3,111092,0,111092,13091,227,0.673893,,,cost_warn|heuristic_resume,490,req_011Cb9LPMCms6qLZnEbRBCBJ
1779075437,,3,2864,0,2864,121705,223,0.05705,,,,504,req_011Cb9LSNSH3rCaFscrwfvnG
1779075444,,1,260,0,260,124569,98,0.040404,,,,506,req_011Cb9LShAf6vMvRwaanfzGW
1779075446,,1,131,0,131,124829,99,0.039723,,,,508,req_011Cb9LT9j5XNChx3TnX73cM
1779075448,,1,133,0,133,124960,105,0.039864,,,,510,req_011Cb9LTL8tmJk2EjSJ68JAW
1779075451,,1,450,0,450,125093,82,0.041461,,,,512,req_011Cb9LTXq7DPn65tZ2xYwDK
1779075456,,1,1004,0,1004,125543,236,0.04723,,,,515,req_011Cb9LThKcE2su5WbuAeVMd
1779075459,,1,269,0,269,126547,111,0.041246,,,,517,req_011Cb9LU4Qsb88KxsvgLyS23
1779075462,,1,454,0,454,126816,125,0.042647,,,,523,req_011Cb9LUHXQmgeyEWi4QSKsp
1779075465,,1,340,0,340,127270,125,0.042099,,,,526,req_011Cb9LUZEiXKtHbFJj94C97
1779075468,,1,204,0,204,127610,115,0.041235,,,,528,req_011Cb9LUnVwC4qAcafUuLqRE
1779075477,,1,512,0,512,127814,521,0.049234,,,,532,req_011Cb9LUzKakGcqoy3qFPwY8
1779075485,,1,977,0,977,128326,506,0.051953,,,,535,req_011Cb9LVdZCVQG8iEQHPHunE
1779075496,,1,722,0,722,129303,648,0.052846,,,,539,req_011Cb9LWExvsaQz8QpErEvwM
1779075499,,1,666,0,666,130025,80,0.044207,,,,545,req_011Cb9LX2Y6G6u1pFg3wwQ93
1779075601,,1,2010,0,2010,130691,695,0.061695,,,,549,req_011Cb9LXDHVqTadSZxegpmQN
1779075615,,1,893,0,893,132701,712,0.055851,,,,553,req_011Cb9Lf1c1SMbznnE2SYTLp
1779075621,,1,795,0,795,133594,222,0.048181,,,,562,req_011Cb9Lfqs9Vc566oD1v9Deg
1779075628,,1,286,0,286,134389,429,0.048471,,,,564,req_011Cb9LgJXGptoQc4tg9tzrT
1779075636,,1,493,0,493,134675,591,0.052229,,,,567,req_011Cb9Lgm1Ui1bnPayCjj3ut
1779075640,,1,655,0,655,135168,171,0.047048,,,,570,req_011Cb9LhL5ZexyLyeWzgQy1Q
1779075643,,1,1196,0,1196,135823,114,0.049636,,,,576,req_011Cb9LhgTuahSVAN4dVppJN
1779075649,,1,1581,0,1581,137019,284,0.054855,,,,581,req_011Cb9LhtfdV1cSJCb39Uqwu
1779075653,,1,313,0,313,138600,114,0.045171,,,,583,req_011Cb9LiKsgx2zCsrN2RPneY
1779075657,,1,267,0,267,138913,202,0.046309,,,,586,req_011Cb9LiaM5sCBtUPqgVS2yn
1779075660,,1,421,0,421,139180,143,0.046428,,,,589,req_011Cb9Lit6B2KxJbjhbsNANz
1779075664,,1,212,0,212,139601,169,0.04569,,,,596,req_011Cb9Lj7MtVShCBZWVWRWJF
1779075672,,1,570,0,570,139813,636,0.054907,,,,599,req_011Cb9LjRUZfHa5mctKsmVpL
1779075675,,1,797,0,797,140383,104,0.04846,,,,602,req_011Cb9Ljz3dbvSv6UvemUbSp
1779075681,,1,133,0,133,141180,121,0.04497,,,,604,req_011Cb9LkNj8v95q3gp55n9Pf
1779075705,,1,261,0,261,141313,118,0.045733,,,,606,req_011Cb9LnAUFf6SMTmj66iW1S
1779075711,,1,167,0,167,141574,114,0.045187,,,,608,req_011Cb9LnRSf2hQqdiK2BvZhi
1779075716,,1,394,0,394,141741,425,0.051264,,,,612,req_011Cb9LnraFgMZKo9Y5QQNvA
1779075719,,1,487,0,487,142135,116,0.047306,,,,618,req_011Cb9LoCzatTUSm79Hx5R2Y
1779075743,,1,179,0,179,142622,161,0.046279,,,,622,req_011Cb9LpwLJhSCXSndSfWHXj
1779075771,,1,394,0,394,142801,416,0.051447,,,,628,req_011Cb9LrejUZJtxr8DemWCCs
1779075788,,1,776,0,776,143195,1005,0.062693,,,,631,req_011Cb9LsHixW3Yu7GfjVBNnW
1779075824,,3,132068,0,132068,13091,174,0.798954,,,cost_warn|heuristic_resume,645,req_011Cb9LvodsVgHiGVFAAnFiE
1779075828,,1,314,0,314,145159,170,0.047985,,,,648,req_011Cb9LwD8FNrpuuAYmMEFqg
1779075831,,1,1147,0,1147,145473,154,0.052837,,,,651,req_011Cb9LwUePxRkFNZnp4bDD8
1779075838,,1,807,0,807,146620,364,0.054291,,,,654,req_011Cb9Lwjc49X6QaHxov84c3
1779075841,,1,754,0,754,147427,114,0.050465,,,,657,req_011Cb9LxFuTMJtNAkM3JVsEX
1779075847,,1,906,0,906,148181,409,0.056028,,,,663,req_011Cb9LxUgf1vVkp8aUgHEc1
1779075852,,1,471,0,471,149087,376,0.053195,,,,665,req_011Cb9LxsGhfFdVhH8hdGSn6
1779075855,,1,438,0,438,149558,103,0.049043,,,,667,req_011Cb9LyFYQL58C4rN76W7yB
1779075874,,1,143,0,143,149996,320,0.05066,,,,669,req_011Cb9Lyer7pUBVDCKnHNyMR
1779075914,,3,342,0,342,150139,142,0.049233,,,,675,req_011Cb9M3WQyDR43atDi6w8wn
1779075917,,1,162,0,162,150481,138,0.048189,,,,677,req_011Cb9M3p9pksmUHEdXfEhG6
