ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779117014,claude-haiku-4-5-20251001,3,50995,50995,0,0,135,0.064422,1779116400,,heuristic_resume,4,req_011CbAFHJezMFpmAhpBXfEqy
1779117017,,5,1526,1526,0,50995,400,0.009012,,,,17,req_011CbAFHUd2DkqLDvPFrwmyM
1779117019,,6,16954,16954,0,52521,107,0.026986,,,heuristic_resume,20,req_011CbAFHgepcNTtuWiW5izyZ
1779117020,,4,373,373,0,69475,53,0.007683,,,,24,req_011CbAFHqLhd1pMiVhp7oNN6
1779117023,,5,3690,3690,0,69848,146,0.012332,,,ctx_warn,27,req_011CbAFHxQMoeaF2TpXQbwxx
1779117026,,4,578,578,0,73538,97,0.008565,,,,30,req_011CbAFJ8nCCBV3ZgtXqcjqg
1779117027,,4,4893,4893,0,74116,104,0.014052,,,,33,req_011CbAFJKnySNMHccL9jEzD7
1779117286,,4,355,355,0,79009,209,0.009394,,,,39,req_011CbAFdRxLY1gpeMMhjJ3df
1779117288,,5,2190,2190,0,79364,117,0.011264,,,,42,req_011CbAFdZaUhcLDGVr9K2ePt
1779117290,,4,1864,1864,0,81554,99,0.010984,,,,45,req_011CbAFdhSkZgzBh5f6y4tPn
1779117293,,4,684,684,0,83418,140,0.009901,,,,48,req_011CbAFdqvEseZpBPuUfLvbE
1779117294,,4,821,821,0,84102,116,0.01002,,,,51,req_011CbAFe2YTTkV19S2BpJNx6
1779117296,,4,399,399,0,84923,103,0.00951,,,,53,req_011CbAFe9VutoE7bDCiqTT7e
1779117298,,3,558,558,0,85322,115,0.009808,,,,56,req_011CbAFeGQdo51nnSnqe4jPR
1779117328,,2,415,415,0,85880,3736,0.027789,,,,58,req_011CbAFeQHA73Fk3VTseYALZ
