ts,model,input,cc,cc5m,cc1h,cr,out,cost,win,rl,evt,line,req
1779084028,,0,0,0,0,0,0,0,1779084000,,clear,3,
1779084051,claude-sonnet-4-6,3,16750,0,16750,13091,411,0.110601,,,heuristic_resume,13,req_011Cb9XNwdUJM4fpQqFs5Ms6
1779084069,,1,734,0,734,29841,168,0.015879,,,,16,req_011Cb9XQbGB455q34qUEF5ak
1779084075,,1,1859,0,1859,30575,172,0.02291,,,,21,req_011Cb9XR6XKLjQY7jm5bYHt6
1779084084,,1,1413,0,1413,32434,354,0.023521,,,,24,req_011Cb9XRRtPt2sBGdSA7ZcNU
1779084158,,3,408,0,408,33847,238,0.016181,,,,33,req_011Cb9XX7woumpo7ZbF7LA98
1779084162,,1,4664,0,4664,34255,109,0.039899,,,,38,req_011Cb9XXW3MB8QbMC7Y3Ckj2
1779084166,,1,3164,0,3164,38919,109,0.032298,,,,40,req_011Cb9XXohUmAEHZYt8ZsgUy
1779084169,,1,6635,0,6635,42083,109,0.054073,,,,44,req_011Cb9XY7KP8izYRUoWkCKLp
1779084189,,1,4983,0,4983,48718,982,0.059246,,,,48,req_011Cb9XYMgLVCf487DgzAGaG
1779084193,,1,1063,0,1063,53701,198,0.025461,,,,53,req_011Cb9XZqpY2UaTNLuoXc9vy
1779084208,,1,279,0,279,54764,927,0.032011,,,,56,req_011Cb9XaAaeMr4xCeHisv2Ua
1779084213,,1,984,0,984,55043,233,0.025915,,,,60,req_011Cb9XbF9m52zn4fPDu4JDj
1779084217,,1,389,0,389,56027,168,0.021665,,,,63,req_011Cb9XbbdJrGXGGapt6RPKi
1779084225,,1,225,0,225,56416,507,0.025883,,,,66,req_011Cb9XbsUZ6Dt6QpdZVdR4t
1779084231,,1,564,0,564,56641,235,0.023904,,,,70,req_011Cb9XcTXvGNFodG7uQrAjT
1779087542,,3,256,0,256,57205,214,0.021917,,,,76,req_011Cb9bpeBvSiHH4LxSWfra4
1779087550,,3,607,0,607,57461,344,0.026049,,,,80,req_011Cb9bq4JWQ4XaswG6XgbDN
1779087561,,1,391,0,391,58068,144,0.021929,,,,82,req_011Cb9brDZQ34sMEibQBDHtJ
1779087575,,3,252,0,252,58459,428,0.025479,,,,88,req_011Cb9brpMuvt33HbEM7iBSQ
1779087580,,3,957,0,957,58711,151,0.025629,,,,92,req_011Cb9bsXL1TvcGy4GheNTm6
1779087599,,852,1425,0,1425,59668,68,0.030026,,,,98,req_011Cb9bu3D8icEp2vNxtf3jY
1779087677,,1,2236,0,2236,61093,2200,0.064747,1779087600,,,101,req_011Cb9bwqhvEzWBX1hUSTsz3
1779088554,,3,65194,0,65194,0,107,0.392778,,,heuristic_resume,115,req_011Cb9d7K74D3zxRfyckkKWR
1779088557,,1,225,0,225,65194,84,0.022171,,,,117,req_011Cb9d7eA2e77wyZzVQ4XTa
1779088564,,1,1461,0,1461,65419,353,0.03369,,,,119,req_011Cb9d7r8cAm1XRRPFrJ91v
1779088643,,3,394,0,394,66880,163,0.024882,,,,125,req_011Cb9dDupnC3JRfFtd2hLE9
1779088657,,3,559,0,559,67274,704,0.034105,,,,131,req_011Cb9dEDQhPrc4wUrjyMs2c
1779088680,,3,716,0,716,67833,508,0.032275,,,,140,req_011Cb9dGA27Hpwv5dTHhFsqr
1779088721,,1,2158,0,2158,68549,2027,0.063921,,,,147,req_011Cb9dGsoZxg2cgfadvWpbU
1779088769,,1,2050,0,2050,70707,245,0.03719,,,,149,req_011Cb9dP2gHWGzALLSFrq2Zi
1779088810,,3,441,0,441,72757,184,0.027242,,,,154,req_011Cb9dS6619WDEDeAg3xXfM
1779088837,,3,210,0,210,73198,287,0.027533,,,,163,req_011Cb9dU6iGCUWQeFetQHsMS
1779088841,,1,826,0,826,73408,142,0.029111,,,,165,req_011Cb9dUTg5UXg3wBgM75x54
1779088843,,1,920,0,920,74234,127,0.029698,,,,170,req_011Cb9dUjoSm8sXfQ9CbprUd
1779088850,,1,278,0,278,75154,114,0.025927,,,,172,req_011Cb9dV2nPwgKFsbmuNFLXV
1779088857,,1,1179,0,1179,75432,449,0.036442,,,,176,req_011Cb9dVR9JcCKf2hUEYmpdv
1779088861,,1,600,0,600,76611,223,0.029931,,,,181,req_011Cb9dVuztk3SpMzcVmzjGg
1779088865,,1,428,0,428,77211,113,0.027429,,,,183,req_011Cb9dWFnGZnrUZA1BvBYGy
1779088870,,1,560,0,560,77639,287,0.03096,,,,186,req_011Cb9dWW1XsZDAJhKGAd6dN
1779088881,,1,367,0,367,78199,533,0.03366,,,,192,req_011Cb9dXGLHNUvm3fryh5xRg
1779088897,,1,594,0,594,78566,580,0.035837,,,,194,req_011Cb9dYMQumf1YUcRaBgEBf
1779088905,,1,641,0,641,79160,146,0.029787,,,,197,req_011Cb9dZFNntgHwNzRHWgk8d
1779088910,,1,529,0,529,79801,208,0.030237,,,,199,req_011Cb9dZVqCLtbffN6i4Cg3X
1779089109,,3,757,0,757,80330,995,0.043575,,,,206,req_011Cb9do6ho7JoRkcBUgNz4i
1779092268,,3,69627,0,69627,12725,145,0.423764,1779091200,,heuristic_resume,226,req_011Cb9hq6JWCDsMXwn1Q4MDF
1779092335,,1,669,0,669,82352,200,0.031723,,,,230,req_011Cb9hv1HGsTPqgLCvSuiuY
1779092340,,1,996,0,996,83021,306,0.035475,,,,239,req_011Cb9hvKxfzS7Jm6xe2SoJc
1779093446,,1,449,0,449,84017,585,0.036677,,,,244,req_011Cb9jKaWnrd1pt3nVtKUjN
1779093461,,1,687,0,687,84466,892,0.042845,,,,247,req_011Cb9jLCJqWib7jC9Zv9RmV
1779093532,,3,999,0,999,85153,324,0.036409,,,,257,req_011Cb9jSBbLZbDzUp55WdDTa
1779093541,,1,1352,0,1352,86152,571,0.042526,,,,264,req_011Cb9jSbPa3J7rTye2tZL4W
1779093552,,1,2138,0,2138,87504,715,0.049807,,,,270,req_011Cb9jTEMJzKbC3UVULftAA
1779093571,,1,983,0,983,89642,92,0.034174,,,,278,req_011Cb9jVE6jrupvyNgPmuwdX
1779093576,,1,346,0,346,90625,236,0.032807,,,,282,req_011Cb9jVTQBcDx8U3nVVznNe
1779093588,,1,293,0,293,90971,453,0.035847,,,,288,req_011Cb9jWLA9M8nYSqzYp1P7E
1779093593,,1,613,0,613,91264,74,0.03217,,,,290,req_011Cb9jWsAhs7qnKNj1Ee6t4
1779093600,,1,2009,0,2009,91877,610,0.04877,,,,299,req_011Cb9jX4GT8YU8rEpnJ8DoW
